#{"t_start": 1523298676.236607, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,174,329.76701
4.0,296,333.389389
1.0,155,335.131602
0.0,129,336.657753
2.0,199,338.943657
1.0,175,340.997477
1.0,177,343.028476
3.0,237,345.910251
0.0,127,347.348877
1.0,155,349.163341
1.0,177,351.234915
2.0,207,353.672269
0.0,125,355.06307
2.0,190,357.369268
2.0,203,359.771049
3.0,234,362.600083
1.0,155,364.420795
2.0,200,366.805745
2.0,223,369.400868
2.0,221,372.090122
2.0,198,374.408371
4.0,297,377.891843
1.0,174,379.857257
0.0,125,381.221579
1.0,155,382.987609
4.0,321,386.774684
0.0,129,388.230722
0.0,127,389.6418
1.0,176,391.681833
2.0,201,394.050617
3.0,251,396.965797
0.0,129,398.408401
2.0,202,400.660333
8.0,352,404.82717
1.0,155,406.669664
3.0,252,409.597249
0.0,127,411.011289
3.0,272,414.154409
0.0,127,415.553558
0.0,129,417.00182
3.0,270,420.218148
1.0,173,422.203892
0.0,127,423.612885
0.0,129,425.073617
0.0,125,426.437624
0.0,129,427.884142
2.0,224,430.485042
0.0,129,431.95211
1.0,175,433.972975
0.0,127,435.383904
1.0,175,437.425276
1.0,171,439.479211
2.0,202,441.992819
0.0,125,443.499887
1.0,175,445.560885
0.0,129,447.062239
2.0,202,449.51502
3.0,249,452.551437
0.0,127,454.013237
0.0,125,455.411271
3.0,230,458.099872
0.0,129,459.585925
1.0,155,461.302542
1.0,155,463.072304
2.0,205,465.454951
0.0,125,466.903964
1.0,175,468.924667
1.0,174,470.945935
2.0,204,473.283443
0.0,127,474.749128
2.0,222,477.325717
0.0,129,478.80332
2.0,205,481.193753
3.0,274,484.440337
1.0,157,486.18338
1.0,173,488.180985
2.0,183,490.398417
1.0,170,492.564465
0.0,127,494.082795
0.0,129,495.54926
3.0,270,498.792969
0.0,129,500.359898
3.0,270,503.705447
0.0,129,505.192643
0.0,129,506.666164
3.0,252,509.755471
1.0,173,511.844206
0.0,129,513.331626
0.0,129,514.828698
0.0,129,516.330974
2.0,220,518.897536
1.0,173,520.966587
0.0,125,522.41867
3.0,276,525.874043
2.0,202,528.383048
0.0,127,529.885543
0.0,129,531.406394
2.0,199,533.887767
1.0,157,535.764746
1.0,175,537.83938
3.0,252,540.965513
2.0,202,543.464014
2.0,230,546.255188
4.0,301,549.999425
0.0,129,551.464807
4.0,304,555.021053
0.0,129,556.473353
0.0,127,557.974361
2.0,202,560.371272
0.0,129,561.81747
1.0,176,563.851819
1.0,153,565.564302
2.0,217,568.200286
1.0,173,570.241179
1.0,157,572.115386
2.0,222,574.712689
2.0,222,577.347435
1.0,155,579.211987
4.0,320,583.101039
2.0,225,585.81847
5.0,331,589.785281
0.0,123,591.154072
0.0,129,592.610737
1.0,176,594.712637
1.0,153,596.487759
0.0,127,597.949369
1.0,157,599.770319
11.0,500,605.958441
2.0,222,608.649816
0.0,127,610.091817
0.0,125,611.551057
1.0,176,613.578089
1.0,177,615.713443
3.0,249,618.710732
1.0,173,620.716069
2.0,200,623.150717
0.0,129,624.629215
0.0,127,626.050325
5.0,350,630.338031
1.0,177,632.466471
0.0,127,633.914535
0.0,125,635.338439
0.0,129,636.872658
1.0,170,638.873799
0.0,129,640.358154
0.0,129,641.831114
1.0,173,643.836089
2.0,202,646.19488
0.0,123,647.648282
0.0,125,649.056788
0.0,127,650.531797
0.0,127,651.95137
2.0,204,654.358252
0.0,125,655.712594
0.0,127,657.176649
2.0,186,659.317519
0.0,125,660.725401
10.0,451,666.308034
0.0,127,667.789544
0.0,125,669.241574
0.0,129,670.667209
4.0,277,674.020383
2.0,200,676.405536
0.0,129,677.869499
0.0,127,679.285128
0.0,125,680.661885
0.0,127,682.114004
2.0,200,684.487826
1.0,176,686.537365
0.0,127,688.008377
2.0,202,690.47454
3.0,271,693.712451
0.0,129,695.170469
2.0,200,697.532067
2.0,220,700.163085
9.0,511,706.537919
4.0,301,710.167027
0.0,129,711.64044
1.0,173,713.68906
3.0,232,716.462163
0.0,127,717.916913
2.0,198,720.281056
5.0,352,724.57552
0.0,127,726.047801
9.0,403,731.109138
2.0,200,733.415443
1.0,155,735.228263
0.0,125,736.630939
0.0,127,738.109643
0.0,127,739.546715
0.0,125,740.945328
1.0,155,742.747176
0.0,127,744.193801
2.0,202,746.538641
0.0,127,747.913594
0.0,127,749.324878
0.0,127,750.798817
3.0,271,754.081177
2.0,200,756.484484
5.0,350,760.719769
0.0,129,762.190161
5.0,350,766.50307
0.0,127,767.865943
0.0,127,769.285884
0.0,129,770.736966
10.0,455,776.332328
0.0,129,777.774205
5.0,350,782.064401
3.0,272,785.267008
4.0,301,788.895953
9.0,404,793.786818
0.0,129,795.2469
3.0,248,798.205673
0.0,129,799.719072
2.0,202,802.058445
1.0,172,804.041229
5.0,350,808.209531
0.0,129,809.656767
5.0,350,813.813417
0.0,127,815.223783
0.0,125,816.655067
0.0,127,818.073354
0.0,127,819.455353
2.0,202,821.824924
0.0,127,823.29607
0.0,125,824.73787
5.0,331,828.746981
0.0,127,830.144142
0.0,127,831.547333
3.0,226,834.263392
5.0,350,838.581943
3.0,228,841.213472
1.0,155,842.961228
1.0,175,844.987663
10.0,433,850.182475
0.0,129,851.659229
0.0,125,853.090258
1.0,175,855.138484
0.0,127,856.624689
9.0,404,861.465998
2.0,198,863.887681
0.0,129,865.378871
0.0,127,866.840361
2.0,202,869.214211
6.0,377,873.810735
3.0,246,876.822962
0.0,125,878.175334
2.0,200,880.613993
0.0,129,882.065958
0.0,129,883.448943
2.0,200,885.863331
4.0,297,889.494481
5.0,346,893.765487
3.0,248,896.719596
0.0,127,898.080838
0.0,129,899.537015
0.0,129,901.032146
0.0,127,902.441146
4.0,278,905.794228
2.0,200,908.048969
0.0,129,909.525379
2.0,200,911.800655
0.0,129,913.284297
2.0,200,915.652232
0.0,127,917.03956
0.0,129,918.524858
0.0,129,919.970905
0.0,127,921.33711
2.0,200,923.651955
2.0,202,926.027205
1.0,155,927.739688
0.0,129,929.222813
0.0,127,930.67597
0.0,129,932.193152
2.0,202,934.624945
0.0,125,936.012841
0.0,127,937.480415
0.0,129,938.994941
4.0,299,942.568996
0.0,129,944.047688
3.0,248,947.039928
0.0,125,948.44714
0.0,127,949.878361
0.0,125,951.252248
0.0,127,952.688113
0.0,129,954.166388
0.0,127,955.646138
4.0,299,959.291854
0.0,125,960.671225
1.0,157,962.522213
2.0,202,964.845935
4.0,299,968.435001
0.0,127,969.910711
9.0,404,974.691055
0.0,127,976.124051
1.0,154,977.885605
0.0,127,979.307689
0.0,129,980.801381
5.0,350,985.060696
2.0,202,987.475212
2.0,202,989.81445
0.0,129,991.241233
0.0,129,992.688284
2.0,198,995.05919
0.0,129,996.515722
5.0,344,1000.63682
2.0,202,1003.012767
2.0,200,1005.350781
0.0,123,1006.749359
0.0,127,1008.135424
0.0,127,1009.600763
0.0,129,1011.050168
0.0,129,1012.480158
0.0,129,1013.896066
0.0,127,1015.334081
0.0,129,1016.729655
0.0,129,1018.209646
0.0,125,1019.610424
0.0,127,1021.030343
0.0,127,1022.434947
1.0,175,1024.495333
0.0,127,1025.959502
0.0,129,1027.40135
0.0,127,1028.807932
2.0,200,1031.140899
4.0,293,1034.682029
0.0,127,1036.118562
0.0,127,1037.532853
5.0,350,1041.794808
0.0,127,1043.210345
0.0,129,1044.636139
4.0,297,1048.199015
2.0,220,1050.798821
1.0,173,1052.829027
3.0,248,1055.744553
9.0,427,1060.996819
0.0,125,1062.408534
0.0,125,1063.778798
10.0,431,1068.992271
0.0,127,1070.427956
0.0,127,1071.875265
4.0,296,1075.375964
0.0,129,1076.871724
5.0,350,1081.259511
5.0,350,1085.444056
0.0,127,1086.864904
0.0,127,1088.258172
2.0,202,1090.629866
2.0,202,1093.02767
12.0,431,1098.398073
4.0,296,1101.905926
3.0,271,1105.171255
0.0,127,1106.608924
2.0,202,1108.951448
4.0,278,1112.335237
2.0,200,1114.715966
9.0,404,1119.508886
0.0,127,1120.899726
2.0,200,1123.273486
0.0,129,1124.787153
2.0,198,1127.107478
2.0,202,1129.478138
0.0,129,1130.931171
2.0,202,1133.396672
0.0,129,1134.853653
2.0,202,1137.14089
0.0,129,1138.608651
0.0,127,1140.069801
0.0,127,1141.53426
0.0,129,1142.961025
2.0,202,1145.353543
2.0,198,1147.622147
3.0,248,1150.59895
2.0,202,1152.90996
0.0,127,1154.349612
0.0,127,1155.811024
1.0,157,1157.656207
8.0,375,1162.261764
13.0,457,1167.806236
0.0,129,1169.240447
10.0,452,1174.745539
1.0,175,1176.771322
0.0,129,1178.16832
0.0,127,1179.553557
0.0,125,1181.038925
5.0,350,1185.341415
0.0,125,1186.776298
5.0,352,1190.959614
2.0,220,1193.537573
0.0,125,1194.982198
2.0,202,1197.389877
0.0,129,1198.825707
2.0,202,1201.240019
2.0,202,1203.601283
2.0,200,1205.870821
4.0,297,1209.398406
0.0,129,1210.821712
2.0,202,1213.275482
0.0,129,1214.764412
0.0,127,1216.229502
0.0,125,1217.664835
4.0,321,1221.585883
5.0,350,1225.846806
0.0,129,1227.265004
5.0,350,1231.424667
1.0,174,1233.50674
5.0,329,1237.476526
0.0,129,1238.966247
4.0,299,1242.466107
0.0,125,1243.88327
5.0,350,1248.104895
0.0,125,1249.458602
0.0,127,1250.892593
6.0,401,1255.74194
0.0,129,1257.186237
9.0,406,1262.123154
0.0,127,1263.565374
0.0,125,1265.011369
0.0,129,1266.461062
0.0,129,1267.889781
0.0,125,1269.298022
0.0,127,1270.744933
2.0,202,1273.093355
1.0,175,1275.218858
1.0,174,1277.377977
0.0,127,1278.832685
0.0,129,1280.264839
0.0,127,1281.710534
3.0,250,1284.650059
2.0,202,1287.055221
5.0,326,1290.967699
5.0,350,1295.159487
4.0,297,1298.651901
0.0,127,1300.063754
2.0,202,1302.438114
3.0,230,1305.152771
1.0,153,1306.991207
2.0,202,1309.431938
3.0,248,1312.34866
0.0,129,1313.833302
11.0,460,1319.345376
0.0,127,1320.695524
0.0,129,1322.196126
1.0,155,1323.983878
5.0,372,1328.420628
2.0,200,1330.779814
1.0,178,1332.857305
2.0,200,1335.184892
1.0,174,1337.213631
5.0,350,1341.335648
0.0,129,1342.804941
0.0,129,1344.236435
0.0,129,1345.711691
0.0,125,1347.123851
3.0,228,1349.762163
2.0,198,1352.083544
2.0,202,1354.377945
2.0,202,1356.73589
0.0,129,1358.187261
4.0,301,1361.688505
0.0,129,1363.11326
0.0,129,1364.567213
2.0,198,1366.946707
2.0,202,1369.302314
5.0,350,1373.523027
3.0,248,1376.394029
0.0,129,1377.773356
5.0,350,1381.93052
4.0,297,1385.555903
0.0,127,1386.968811
2.0,202,1389.366176
0.0,127,1390.822869
1.0,174,1392.875127
0.0,125,1394.251447
1.0,177,1396.307429
3.0,248,1399.247035
5.0,328,1403.159618
0.0,129,1404.607384
0.0,127,1406.030405
0.0,125,1407.389852
2.0,198,1409.657819
12.0,405,1414.581022
2.0,198,1416.927467
0.0,125,1418.318524
1.0,153,1420.00626
3.0,253,1423.014188
4.0,297,1426.68293
1.0,157,1428.496933
0.0,127,1429.949932
0.0,127,1431.413737
0.0,129,1432.93272
2.0,200,1435.339152
0.0,129,1436.825891
9.0,404,1441.657767
0.0,129,1443.118917
6.0,397,1447.980932
2.0,185,1450.12322
3.0,246,1453.018228
0.0,123,1454.397905
3.0,230,1457.052194
0.0,125,1458.413625
3.0,254,1461.413192
2.0,198,1463.732419
0.0,129,1465.190617
0.0,127,1466.640759
2.0,185,1468.814175
13.0,460,1474.455887
2.0,220,1477.024474
0.0,129,1478.449787
1.0,153,1480.169937
5.0,350,1484.318776
1.0,177,1486.411242
3.0,268,1489.639
8.0,350,1493.821851
0.0,129,1495.280458
1.0,173,1497.259218
0.0,129,1498.696841
3.0,248,1501.635093
2.0,200,1503.986303
0.0,127,1505.396585
1.0,176,1507.399654
1.0,176,1509.423081
1.0,177,1511.503398
0.0,129,1512.896155
0.0,125,1514.258242
2.0,200,1516.666335
2.0,188,1518.827434
1.0,155,1520.585405
2.0,224,1523.238091
2.0,222,1525.818944
0.0,127,1527.186083
2.0,200,1529.522103
2.0,202,1531.819593
1.0,173,1533.802277
2.0,202,1536.161478
0.0,129,1537.533456
0.0,127,1538.967591
11.0,501,1545.034203
1.0,172,1547.054777
4.0,317,1550.914486
0.0,125,1552.36422
0.0,127,1553.819573
4.0,301,1557.440259
1.0,157,1559.18898
0.0,127,1560.631849
3.0,216,1563.205014
2.0,222,1565.868909
1.0,154,1567.608893
4.0,277,1570.817127
0.0,125,1572.265946
8.0,369,1576.700357
2.0,186,1578.944033
0.0,129,1580.401384
8.0,372,1584.809669
0.0,127,1586.232999
2.0,227,1588.889276
5.0,350,1593.045234
2.0,202,1595.391724
3.0,251,1598.40085
1.0,155,1600.141313
6.0,352,1604.304461
1.0,174,1606.275132
0.0,129,1607.742987
1.0,178,1609.755957
1.0,172,1611.773972
2.0,203,1614.176869
3.0,233,1616.953207
11.0,484,1622.749783
2.0,202,1625.132874
8.0,495,1631.148311
5.0,352,1635.380301
3.0,230,1638.180479
0.0,129,1639.610408
3.0,270,1642.815915
2.0,206,1645.23977
0.0,127,1646.656733
1.0,178,1648.759366
1.0,175,1650.814651
1.0,173,1652.779044
2.0,201,1655.079777
5.0,350,1659.191559
1.0,157,1660.989964
0.0,125,1662.357203
1.0,177,1664.429796
1.0,157,1666.274603
1.0,175,1668.308476
4.0,321,1672.123623
4.0,258,1675.081617
3.0,213,1677.527325
1.0,175,1679.556171
3.0,236,1682.384943
0.0,127,1683.802077
4.0,280,1687.057532
10.0,433,1692.2212
3.0,228,1694.876104
0.0,129,1696.301107
2.0,202,1698.711444
0.0,127,1700.134731
3.0,230,1702.818846
2.0,183,1704.967374
4.0,297,1708.453436
1.0,155,1710.232332
0.0,127,1711.62887
0.0,129,1713.078007
0.0,127,1714.548508
1.0,157,1716.361167
1.0,177,1718.33497
1.0,176,1720.388844
1.0,157,1722.1615
3.0,246,1725.144593
4.0,299,1728.808659
10.0,544,1735.617266
0.0,127,1737.078747
6.0,381,1741.757275
3.0,235,1744.585532
5.0,347,1748.753307
3.0,230,1751.412216
3.0,248,1754.253377
6.0,345,1758.324291
1.0,177,1760.386667
2.0,202,1762.673377
12.0,522,1768.881903
2.0,201,1771.195353
3.0,218,1773.730171
4.0,296,1777.120962
2.0,181,1779.165173
3.0,272,1782.290144
7.0,410,1787.016704
7.0,390,1791.455721
4.0,297,1794.751493
11.0,499,1800.630862
4.0,258,1803.508562
0.0,127,1804.854617
3.0,216,1807.235801
8.0,374,1811.496998
6.0,401,1816.10883
0.0,129,1817.567013
0.0,129,1818.948605
1.0,152,1820.605269
2.0,199,1822.823484
13.0,480,1828.433175
9.0,404,1833.109241
14.0,507,1839.005246
2.0,188,1841.112115
5.0,347,1845.126895
1.0,152,1846.770654
11.0,446,1852.018689
0.0,129,1853.407169
1.0,155,1855.098568
4.0,262,1858.183851
1.0,155,1859.911182
2.0,200,1862.237659
7.0,248,1865.044715
3.0,254,1867.948246
5.0,350,1872.032133
0.0,129,1873.458485
2.0,181,1875.533522
1.0,155,1877.230332
9.0,404,1881.891553
3.0,248,1884.744189
3.0,214,1887.213088
1.0,157,1888.920321
1.0,178,1890.887496
3.0,248,1893.705951
1.0,172,1895.57459
12.0,514,1901.610362
0.0,127,1903.00026
1.0,157,1904.739614
1.0,155,1906.463683
0.0,129,1907.889581
7.0,446,1913.028862
4.0,267,1916.074332
6.0,357,1920.152619
0.0,127,1921.522482
0.0,127,1922.918094
9.0,427,1927.883475
4.0,301,1931.289782
4.0,260,1934.261501
3.0,231,1936.862552
2.0,222,1939.376555
0.0,125,1940.748583
3.0,216,1943.220375
0.0,127,1944.581734
5.0,326,1948.376451
0.0,127,1949.732731
8.0,496,1955.539022
6.0,378,1959.93384
0.0,125,1961.267553
2.0,202,1963.528638
5.0,350,1967.548657
3.0,233,1970.12311
2.0,222,1972.623916
1.0,157,1974.369806
10.0,454,1979.662695
4.0,297,1983.016973
9.0,404,1987.723589
3.0,218,1990.213578
5.0,308,1993.710474
4.0,297,1997.18111
3.0,252,2000.04851
9.0,380,2004.440895
5.0,350,2008.459877
5.0,350,2012.508654
6.0,397,2017.091213
1.0,171,2018.963477
3.0,255,2021.799056
1.0,175,2023.795053
5.0,350,2027.854509
4.0,302,2031.371466
3.0,216,2033.783664
0.0,129,2035.160485
2.0,183,2037.22993
0.0,127,2038.574258
1.0,155,2040.26434
6.0,396,2044.820056
1.0,171,2046.710148
3.0,257,2049.72989
0.0,129,2051.099211
5.0,278,2054.316886
2.0,202,2056.567316
8.0,449,2061.753809
11.0,484,2067.33393
9.0,326,2071.06629
3.0,251,2073.848181
1.0,154,2075.507173
6.0,344,2079.395683
0.0,129,2080.716263
3.0,272,2083.699605
1.0,155,2085.381369
0.0,129,2086.781601
2.0,219,2089.225826
1.0,155,2090.941815
3.0,214,2093.362608
3.0,232,2096.027049
8.0,419,2100.901299
2.0,203,2103.149076
3.0,236,2105.840349
2.0,204,2108.049822
4.0,267,2111.055665
0.0,125,2112.355231
5.0,297,2115.719384
2.0,202,2117.964174
5.0,294,2121.276648
1.0,155,2123.008429
10.0,355,2127.003016
0.0,127,2128.35776
4.0,276,2131.466877
2.0,204,2133.725597
0.0,127,2135.055093
3.0,236,2137.687727
3.0,216,2140.094943
2.0,204,2142.366656
5.0,350,2146.30197
2.0,190,2148.384824
6.0,399,2152.975079
5.0,352,2156.974058
1.0,155,2158.694885
2.0,183,2160.718651
0.0,127,2162.050799
5.0,350,2166.108454
3.0,213,2168.454313
5.0,350,2172.399556
4.0,285,2175.610921
2.0,205,2177.874473
5.0,293,2181.139971
3.0,236,2183.774867
6.0,396,2188.273918
3.0,230,2190.832542
5.0,368,2195.023772
6.0,379,2199.34919
11.0,460,2204.620839
3.0,250,2207.501593
5.0,274,2210.623974
13.0,548,2216.94547
3.0,215,2219.253438
3.0,216,2221.657292
3.0,210,2224.01959
3.0,216,2226.399939
3.0,251,2229.221705
6.0,277,2232.247025
5.0,291,2235.583863
1.0,155,2237.263163
6.0,349,2241.210975
5.0,347,2245.147954
3.0,232,2247.683984
13.0,454,2252.896787
6.0,357,2256.897926
4.0,277,2260.038823
2.0,205,2262.273494
5.0,348,2266.242815
10.0,452,2271.457566
2.0,186,2273.441721
1.0,155,2275.17675
4.0,263,2278.131707
6.0,341,2281.989035
2.0,204,2284.187519
8.0,495,2289.905789
7.0,250,2292.598349
2.0,230,2295.242359
6.0,345,2299.014816
6.0,417,2303.710886
11.0,423,2308.473526
5.0,346,2312.359585
3.0,248,2315.108274
4.0,258,2317.937519
9.0,404,2322.533876
2.0,201,2324.667096
3.0,257,2327.540262
5.0,346,2331.415825
5.0,316,2334.942974
4.0,276,2337.960008
9.0,327,2341.572109
8.0,300,2344.885318
5.0,289,2348.093764
11.0,471,2353.446299
6.0,218,2355.874762
3.0,247,2358.547018
7.0,397,2362.972008
11.0,472,2368.310569
4.0,319,2371.836678
3.0,234,2374.419076
4.0,282,2377.582426
7.0,388,2381.948827
3.0,246,2384.687239
16.0,594,2391.398569
2.0,186,2393.386876
6.0,334,2397.137648
10.0,453,2402.243163
5.0,329,2405.911303
8.0,329,2409.556456
4.0,297,2412.928435
2.0,183,2414.954171
6.0,358,2418.965865
6.0,341,2422.781986
4.0,238,2425.349038
8.0,370,2429.502225
3.0,219,2431.900484
1.0,173,2433.747823
3.0,252,2436.500385
18.0,625,2443.520342
14.0,363,2447.664016
4.0,279,2450.763541
10.0,377,2454.924178
4.0,265,2457.865609
2.0,224,2460.291081
2.0,205,2462.488368
11.0,394,2466.847865
5.0,304,2470.153737
13.0,362,2474.257692
8.0,457,2479.313115
4.0,280,2482.419064
10.0,480,2487.819908
9.0,493,2493.27229
4.0,299,2496.5979
6.0,360,2500.547369
6.0,341,2504.286921
12.0,304,2507.684448
6.0,325,2511.233454
7.0,383,2515.446054
1.0,154,2517.070462
4.0,279,2520.128017
2.0,201,2522.236685
3.0,211,2524.55004
2.0,204,2526.717847
6.0,395,2531.075162
6.0,379,2535.34294
4.0,267,2538.267787
2.0,204,2540.475611
8.0,455,2545.545129
9.0,496,2551.08429
7.0,348,2554.936206
5.0,304,2558.178267
5.0,368,2562.229681
11.0,575,2568.70015
9.0,404,2573.254889
8.0,282,2576.341733
9.0,497,2581.877948
12.0,474,2587.095573
5.0,309,2590.424287
6.0,394,2594.792743
3.0,233,2597.318497
7.0,396,2601.667833
4.0,268,2604.499668
5.0,291,2607.681172
14.0,478,2612.981737
12.0,318,2616.451523
9.0,468,2621.583333
12.0,480,2626.867899
7.0,420,2631.449225
9.0,348,2635.259884
11.0,401,2639.689624
9.0,451,2644.692593
8.0,447,2649.616848
5.0,312,2653.051046
9.0,471,2658.30934
6.0,359,2662.173034
3.0,209,2664.430594
17.0,530,2670.30533
10.0,470,2675.488722
4.0,285,2678.590992
5.0,328,2682.15761
6.0,360,2686.099854
18.0,669,2693.564439
17.0,580,2700.029889
7.0,374,2704.098516
7.0,411,2708.647363
18.0,418,2713.230061
3.0,250,2715.91355
12.0,549,2722.009119
7.0,365,2726.157708
2.0,183,2728.079811
10.0,394,2732.467759
8.0,400,2736.84661
13.0,566,2743.113285
14.0,597,2749.774009
4.0,301,2753.050958
9.0,349,2756.86367
14.0,576,2763.273757
15.0,439,2768.11952
10.0,461,2773.210689
4.0,281,2776.268997
7.0,351,2780.117184
4.0,278,2783.087917
4.0,280,2786.1228
4.0,278,2789.171536
7.0,448,2794.095996
6.0,345,2797.861414
8.0,439,2802.66785
10.0,377,2806.855032
7.0,370,2810.9129
4.0,257,2813.611772
5.0,293,2816.879109
14.0,538,2822.800392
12.0,320,2826.283959
4.0,266,2829.119926
9.0,504,2834.644619
11.0,412,2839.167966
8.0,441,2844.020021
9.0,492,2849.402291
7.0,407,2853.820238
14.0,584,2860.214108
15.0,586,2866.686335
12.0,426,2871.325765
2.0,188,2873.297755
6.0,342,2877.033784
18.0,524,2882.798826
7.0,369,2886.795171
19.0,687,2894.304293
14.0,644,2901.398319
11.0,460,2906.476461
14.0,580,2912.838321
9.0,450,2917.748858
22.0,744,2925.944156
10.0,504,2931.663077
6.0,395,2936.049706
8.0,458,2941.133569
5.0,332,2944.787365
15.0,642,2951.823559
14.0,551,2957.826567
19.0,762,2966.166492
7.0,405,2970.499394
24.0,497,2975.944703
20.0,750,2984.120997
11.0,541,2990.074179
8.0,434,2994.753416
