#{"t_start": 1514947592.7732513, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,203,323.696662
2.0,183,325.938088
5.0,296,329.704941
0.0,129,331.260402
1.0,154,333.105479
0.0,127,334.618455
0.0,127,336.164714
2.0,202,338.626252
2.0,203,341.125561
0.0,127,342.645235
0.0,129,344.201119
0.0,127,345.720512
0.0,127,347.240685
0.0,129,348.761014
1.0,157,350.663865
0.0,127,352.16227
1.0,155,353.999347
0.0,125,355.499845
1.0,153,357.369374
0.0,127,358.896375
1.0,173,361.044345
2.0,206,363.592945
4.0,299,367.328665
0.0,129,368.769778
0.0,129,370.330825
1.0,177,372.505635
9.0,384,377.386126
2.0,218,380.140692
0.0,129,381.660104
7.0,429,387.245424
0.0,127,388.732241
0.0,129,390.263305
5.0,329,394.322208
0.0,127,395.767296
0.0,129,397.254306
0.0,127,398.704915
2.0,202,401.12042
0.0,129,402.634091
4.0,275,406.094327
4.0,298,409.895636
1.0,155,411.699816
2.0,202,414.163233
0.0,127,415.656496
0.0,127,417.178432
0.0,129,418.668809
4.0,297,422.354002
2.0,222,425.048615
5.0,334,429.214394
7.0,450,434.909446
5.0,371,439.579423
5.0,348,443.933306
0.0,127,445.422923
2.0,224,448.317797
2.0,186,450.555002
0.0,123,452.00609
4.0,265,455.29914
2.0,189,457.62419
0.0,127,459.141071
2.0,202,461.578983
5.0,348,465.904009
6.0,360,470.440285
2.0,227,473.275282
3.0,267,476.534504
0.0,129,478.064467
0.0,129,479.63514
0.0,127,481.094513
0.0,127,482.583518
0.0,127,484.142247
0.0,129,485.68495
1.0,173,487.765036
0.0,123,489.212254
0.0,129,490.771383
3.0,270,494.123303
2.0,224,496.921197
0.0,125,498.415404
5.0,368,503.144655
3.0,250,506.257031
1.0,171,508.331607
1.0,174,510.4688
0.0,129,511.98583
0.0,127,513.472211
2.0,204,515.922457
4.0,301,519.713962
1.0,155,521.574017
0.0,127,523.046052
1.0,173,525.117725
3.0,270,528.450679
5.0,348,532.778215
0.0,127,534.277225
0.0,127,535.723224
0.0,127,537.209649
0.0,129,538.68861
2.0,204,541.178207
1.0,173,543.342742
1.0,155,545.175882
0.0,127,546.68724
1.0,157,548.602439
2.0,224,551.336704
0.0,129,552.88546
2.0,206,555.436214
0.0,125,556.923682
4.0,280,560.433176
3.0,267,563.848286
2.0,204,566.383261
1.0,157,568.31146
5.0,288,572.058806
0.0,129,573.577915
2.0,198,576.060709
3.0,232,578.895976
4.0,297,582.55681
2.0,204,585.094422
0.0,129,586.548083
0.0,129,588.047427
10.0,451,593.619741
5.0,352,597.92856
0.0,125,599.38005
9.0,382,604.273071
1.0,155,606.187698
0.0,129,607.70962
3.0,248,610.759983
0.0,127,612.307972
3.0,251,615.472772
1.0,171,617.625898
6.0,361,622.187932
0.0,129,623.666557
0.0,127,625.11186
2.0,222,627.865191
0.0,127,629.321896
0.0,125,630.835624
0.0,127,632.357847
0.0,129,633.928212
0.0,129,635.413935
0.0,125,636.8756
0.0,127,638.373988
0.0,129,639.988814
1.0,175,642.120034
0.0,127,643.598202
0.0,129,645.193891
2.0,209,647.732794
0.0,129,649.27719
3.0,248,652.422748
0.0,127,653.891288
2.0,206,656.297148
0.0,127,657.809085
0.0,129,659.250701
4.0,321,663.314849
2.0,186,665.594231
0.0,129,667.108147
1.0,157,669.00618
0.0,127,670.475319
4.0,299,674.135381
0.0,129,675.661175
1.0,155,677.545357
0.0,129,679.067231
0.0,127,680.563923
3.0,276,684.03483
2.0,218,686.687453
2.0,202,689.10816
3.0,274,692.512061
3.0,252,695.607856
3.0,253,698.713156
0.0,129,700.21649
2.0,227,702.997784
8.0,354,707.51072
0.0,127,709.008314
0.0,127,710.49933
0.0,127,711.969063
2.0,225,714.777067
2.0,198,717.214911
5.0,329,721.318585
1.0,171,723.414478
2.0,187,725.685741
3.0,232,728.533897
0.0,129,730.024093
0.0,127,731.560691
0.0,129,733.065432
0.0,129,734.559479
8.0,371,739.35915
5.0,328,743.450315
3.0,270,746.852372
0.0,127,748.29317
0.0,129,749.82147
1.0,173,751.922703
0.0,129,753.466179
0.0,125,754.876848
0.0,129,756.383282
0.0,129,757.882685
2.0,202,760.303066
4.0,277,763.648337
5.0,350,767.974196
1.0,155,769.888412
1.0,173,771.97824
0.0,127,773.461451
0.0,129,774.980417
5.0,327,779.106714
0.0,127,780.572927
2.0,198,782.900897
0.0,129,784.381971
0.0,129,785.926968
9.0,404,791.050429
0.0,129,792.546629
0.0,129,794.033197
0.0,125,795.442063
4.0,321,799.425644
2.0,198,801.825964
0.0,127,803.292288
2.0,202,805.705151
0.0,129,807.227828
2.0,202,809.620436
2.0,200,812.127407
2.0,202,814.559418
0.0,127,816.06009
4.0,299,819.799829
0.0,127,821.258949
0.0,129,822.687498
0.0,129,824.182167
2.0,202,826.569963
5.0,310,830.453587
5.0,350,834.743426
0.0,127,836.218072
0.0,127,837.686322
0.0,127,839.18781
0.0,125,840.617821
2.0,205,843.05943
0.0,127,844.546782
0.0,125,845.946061
5.0,350,850.379978
1.0,173,852.458123
0.0,129,853.984704
4.0,299,857.69218
0.0,125,859.14522
2.0,198,861.545266
0.0,125,862.955551
0.0,127,864.360234
4.0,299,868.095199
0.0,127,869.630909
5.0,350,874.034822
0.0,125,875.466457
4.0,299,879.159592
9.0,404,884.215303
0.0,127,885.693102
0.0,129,887.212813
0.0,127,888.702615
5.0,328,892.82358
3.0,248,895.885579
1.0,178,898.101191
0.0,129,899.650644
3.0,250,902.669044
0.0,127,904.111461
0.0,125,905.60008
0.0,125,907.041676
9.0,404,912.150562
7.0,448,917.708608
2.0,200,920.168808
0.0,127,921.668692
1.0,155,923.568338
0.0,127,925.052456
3.0,248,928.016818
0.0,127,929.518367
2.0,198,931.84058
2.0,202,934.265504
3.0,248,937.323724
1.0,157,939.231071
1.0,157,941.04189
0.0,127,942.537316
9.0,404,947.680793
2.0,198,950.078078
0.0,125,951.516688
