#{"t_start": 1514956012.5007706, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,187,323.874211
1.0,155,325.743525
1.0,176,327.821411
0.0,127,329.30099
3.0,270,332.722189
0.0,129,334.267203
0.0,129,335.753557
3.0,268,339.114005
1.0,153,340.952392
0.0,127,342.4237
1.0,157,344.333649
5.0,350,348.757636
1.0,157,350.687736
2.0,222,353.411682
0.0,127,354.938901
0.0,125,356.380888
3.0,252,359.510335
5.0,350,363.906372
1.0,175,366.108226
0.0,129,367.639041
1.0,155,369.495851
1.0,175,371.65597
0.0,125,373.116055
5.0,328,377.189668
0.0,127,378.711269
1.0,176,380.830005
2.0,202,383.322891
2.0,208,385.881249
0.0,129,387.473882
0.0,125,388.955322
5.0,352,393.354565
0.0,125,394.827054
0.0,125,396.304026
0.0,127,397.806895
5.0,350,402.224938
1.0,177,404.387571
3.0,271,407.781881
2.0,204,410.268659
0.0,127,411.790709
2.0,204,414.289825
0.0,127,415.723895
4.0,317,419.637377
4.0,298,423.356966
0.0,125,424.850946
0.0,125,426.352268
0.0,129,427.873323
0.0,127,429.331533
1.0,175,431.45013
2.0,200,433.947969
4.0,301,437.7434
1.0,175,439.873408
2.0,217,442.521881
1.0,172,444.613203
0.0,127,446.086311
2.0,187,448.432105
3.0,233,451.385893
3.0,226,454.669271
2.0,187,458.619998
2.0,202,463.142525
1.0,172,466.49827
1.0,173,470.10745
3.0,252,475.775665
0.0,125,478.375288
1.0,173,481.619962
1.0,155,484.742749
1.0,152,487.513953
1.0,173,490.702669
1.0,175,494.47356
0.0,129,496.557416
2.0,223,501.036026
2.0,203,505.02879
2.0,204,509.392442
1.0,173,513.00829
0.0,123,515.507713
0.0,129,518.14401
1.0,173,521.437215
0.0,129,524.369875
0.0,125,526.721008
3.0,230,531.460452
2.0,226,536.986444
2.0,203,540.29181
1.0,174,543.925529
0.0,127,546.689494
0.0,129,549.305776
1.0,173,552.413368
2.0,225,557.237827
0.0,129,559.679192
5.0,352,567.120731
0.0,129,569.941967
9.0,406,578.460796
0.0,127,581.032234
0.0,129,583.606371
0.0,129,586.071576
0.0,129,588.308324
0.0,129,590.690212
3.0,268,596.607165
0.0,129,599.255408
1.0,155,602.566053
0.0,125,604.815806
0.0,127,607.067194
1.0,157,609.964754
0.0,129,612.336538
2.0,202,616.45999
2.0,202,620.501043
0.0,129,623.06348
4.0,300,629.374785
1.0,176,633.821876
5.0,348,641.888115
0.0,127,644.511734
2.0,204,648.494033
2.0,219,652.956389
1.0,155,655.676355
0.0,127,658.72063
4.0,298,665.065005
5.0,330,671.710999
2.0,185,675.621751
3.0,233,680.270777
1.0,155,683.494591
4.0,299,690.034602
0.0,125,692.253384
2.0,224,697.107305
0.0,127,699.522025
4.0,299,705.44816
0.0,127,708.120485
3.0,248,713.303121
5.0,350,721.291168
0.0,127,724.176705
1.0,172,727.61869
5.0,350,735.548887
2.0,186,739.018264
1.0,177,742.150412
5.0,347,749.2176
0.0,127,751.505219
0.0,125,754.09051
0.0,129,756.470406
9.0,404,764.883917
4.0,299,770.743735
0.0,127,773.353765
0.0,125,776.173767
5.0,352,783.122993
3.0,248,788.307277
2.0,202,792.437903
0.0,127,795.021649
5.0,350,802.373427
7.0,432,811.49949
0.0,125,813.941419
0.0,129,816.423584
0.0,127,818.993191
0.0,127,821.577389
0.0,129,824.035113
0.0,129,826.289511
0.0,129,828.554861
0.0,127,830.904369
2.0,202,834.987435
8.0,478,845.633508
0.0,129,848.367321
6.0,377,855.792188
5.0,350,862.774822
0.0,127,865.047011
0.0,125,867.194803
2.0,202,870.942233
0.0,127,873.171207
0.0,129,875.465342
0.0,129,877.767217
0.0,127,880.149443
9.0,404,888.451845
9.0,404,896.21778
2.0,200,900.458165
0.0,129,903.493122
2.0,202,908.180636
2.0,202,912.333194
0.0,129,914.64147
0.0,127,917.249988
0.0,127,920.328172
0.0,129,922.737588
0.0,123,925.00364
0.0,127,927.644179
0.0,127,930.25898
0.0,129,932.611425
2.0,198,936.152116
0.0,125,938.828649
2.0,200,942.979853
5.0,350,950.850387
0.0,129,953.665919
2.0,223,958.538998
0.0,129,961.327173
2.0,202,965.057551
0.0,129,967.584667
0.0,129,970.143373
0.0,129,972.598433
6.0,382,980.9756
0.0,127,983.457798
2.0,202,987.396122
0.0,129,989.674065
5.0,350,997.001926
5.0,350,1003.854196
4.0,299,1010.166316
11.0,479,1020.467028
6.0,400,1029.10604
5.0,350,1036.563685
3.0,248,1041.74776
0.0,127,1044.304484
0.0,125,1046.812174
0.0,129,1049.48914
4.0,297,1055.581037
0.0,129,1058.149625
2.0,200,1062.510803
2.0,200,1066.566612
0.0,123,1069.000216
6.0,380,1076.277166
3.0,248,1081.572567
5.0,350,1088.729405
1.0,172,1091.764981
9.0,404,1100.058583
9.0,404,1108.344657
9.0,404,1116.866051
0.0,127,1119.126075
3.0,248,1124.316926
0.0,129,1126.778528
5.0,350,1133.957757
0.0,125,1136.131906
0.0,129,1138.289865
0.0,129,1141.121082
2.0,202,1145.820957
0.0,127,1148.470331
3.0,248,1152.951511
0.0,129,1155.087074
0.0,129,1157.385315
0.0,129,1160.172427
0.0,125,1162.906306
0.0,125,1165.411579
0.0,129,1168.023838
0.0,129,1170.350783
0.0,125,1172.937378
0.0,127,1175.839014
0.0,129,1178.547407
0.0,127,1181.041258
0.0,127,1183.508819
2.0,200,1187.332746
0.0,129,1190.110795
1.0,153,1192.972037
0.0,127,1195.719602
0.0,129,1198.43978
0.0,129,1201.202244
0.0,129,1203.394266
0.0,129,1206.125363
9.0,404,1215.158241
8.0,374,1222.686262
3.0,248,1228.167094
0.0,129,1230.736031
0.0,127,1232.928725
2.0,202,1237.172648
0.0,129,1239.704016
3.0,248,1245.642248
5.0,350,1253.148036
9.0,404,1261.382785
9.0,404,1269.134852
3.0,248,1273.846104
4.0,297,1280.567904
6.0,380,1288.929945
1.0,156,1292.016485
0.0,129,1294.756054
0.0,127,1297.37189
0.0,125,1300.176551
0.0,129,1302.736748
0.0,125,1304.892026
9.0,404,1313.542652
0.0,127,1315.640359
6.0,380,1324.532446
0.0,127,1326.960203
0.0,127,1329.606019
0.0,127,1331.956958
0.0,125,1334.395877
0.0,129,1337.010265
0.0,129,1339.818306
4.0,297,1345.705634
4.0,297,1351.978267
0.0,127,1354.603132
0.0,127,1357.072475
5.0,344,1363.849367
4.0,297,1370.13308
2.0,202,1373.884514
0.0,127,1376.62481
0.0,129,1379.127095
0.0,127,1381.270887
0.0,129,1384.097427
0.0,127,1386.703504
2.0,202,1391.394569
0.0,129,1394.219377
0.0,125,1396.563652
0.0,127,1399.523335
0.0,127,1401.95006
0.0,127,1404.534278
2.0,202,1408.668237
0.0,125,1411.095004
0.0,129,1413.456279
0.0,129,1415.947413
0.0,129,1418.412677
0.0,127,1420.583258
0.0,129,1422.680875
2.0,202,1427.199639
10.0,452,1437.110221
14.0,506,1447.889633
1.0,173,1451.359333
1.0,176,1455.043194
