total_timesteps,avg_norm_grads_f,loss,avg_norm_g,norm_grads_policy,avg_norm_k_dot_g,avg_norm_adj,loss_policy,loss_bc,fps,loss_q,loss_f,norm_grads_q,avg_norm_k,explained_variance,mean_episode_reward,mean_episode_length,norm_grads,entropy
,2.0833139419555664,0.3746750056743622,2.1555914878845215,0.3878479599952698,2.1580445766448975,0.10835448652505875,0.24691292643547058,,,0.2832498550415039,0.24691292643547058,1.4552809000015259,1.9999921321868896,-0.12230157852172852,,,1.5056376457214355,1.3862861394882202
32000,0.5770494341850281,0.034573033452034,0.5770494937896729,0.09323747456073761,0.5727304220199585,,0.027591606602072716,,138,0.04168819636106491,0.027591606602072716,0.1637619584798813,2.000033140182495,-0.016213297843933105,0.225,32.95,0.18837681412696838,1.3862669467926025
64000,0.6476447582244873,4.279240965843201e-05,0.6477501392364502,0.1782609522342682,0.6424382925033569,0.00011021189857274294,-0.005538520403206348,,249,0.038887687027454376,-0.005538520403206348,0.19353654980659485,2.000063419342041,-0.021303772926330566,0.425,39.45,0.2630699872970581,1.3862531185150146
96000,0.5783829689025879,0.023836199194192886,0.5784608125686646,0.09654852002859116,0.5751244425773621,7.935186295071617e-05,0.019829537719488144,,339,0.03573881462216377,0.019829537719488144,0.12271908670663834,2.0001156330108643,-0.018006086349487305,0.35,37.3,0.15611819922924042,1.3862746953964233
128000,0.6304801106452942,0.01849103346467018,0.6304801106452942,0.08010221272706985,0.6260980367660522,,0.01112356036901474,,413,0.04245399683713913,0.01112356036901474,0.09440421313047409,2.001152515411377,-0.006456851959228516,0.15,28.25,0.12384215742349625,1.3859525918960571
160000,1.0493383407592773,0.1389576941728592,1.0543640851974487,0.08418943732976913,1.0518534183502197,0.005442933179438114,0.10874582827091217,,475,0.08814087510108948,0.10874582827091217,0.36677131056785583,2.0010874271392822,-0.019645214080810547,0.225,32.75,0.3760857582092285,1.3858566284179688
192000,0.5819364786148071,0.02886829525232315,0.5839478373527527,0.09193486720323563,0.5817545056343079,0.0021890965290367603,0.028699159622192383,,505,0.027816619724035263,0.028699159622192383,0.13856561481952667,1.998124361038208,-0.0030591487884521484,0.225,30.95,0.1659342646598816,1.373917579650879
224000,0.3243408203125,-0.10412388294935226,0.3245092034339905,0.003891692264005542,0.31987398862838745,0.0001608497987035662,-0.09346646815538406,,528,0.006390857044607401,-0.09346646815538406,0.0786784365773201,2.0058140754699707,0.0012370944023132324,0.475,42.05,0.0790824368596077,1.385284185409546
256000,0.5577547550201416,-0.05144301801919937,0.5632495880126953,0.022456714883446693,0.5569445490837097,0.006044189445674419,-0.053002528846263885,,545,0.030779104679822922,-0.053002528846263885,0.05747652426362038,1.9981138706207275,0.08699756860733032,0.475,41.7,0.06208288297057152,1.3830043077468872
288000,0.8739861845970154,0.06509841978549957,0.8746763467788696,0.05716097727417946,0.8727777600288391,0.0007402118062600493,0.04388060048222542,,561,0.07004925608634949,0.04388060048222542,0.0893867090344429,2.0030453205108643,0.0748482346534729,0.1,26.275,0.10546604543924332,1.3806809186935425
320000,0.7339126467704773,-0.07940202206373215,0.7454334497451782,0.04720310866832733,0.7389852404594421,0.012904854491353035,-0.08606995642185211,,573,0.04102235287427902,-0.08606995642185211,0.13585248589515686,2.000272274017334,0.3492896556854248,0.275,34.075,0.14193131029605865,1.384324550628662
352000,0.6464704275131226,0.013305813074111938,0.6515494585037231,0.03711215779185295,0.6499115228652954,0.005884614307433367,0.010170665569603443,,584,0.033613868057727814,0.010170665569603443,0.06338232010602951,2.01357364654541,0.5205515027046204,0.35,37.275,0.07609498500823975,1.3671785593032837
384000,0.5786672234535217,-0.02444043755531311,0.581261396408081,0.02040364407002926,0.5769734382629395,0.002980048069730401,-0.022270385175943375,,594,0.023059526458382607,-0.022270385175943375,0.05853365734219551,1.9987093210220337,0.5551384687423706,0.275,33.875,0.06461481750011444,1.3699815273284912
416000,0.9043501615524292,-0.08068791031837463,0.9377743005752563,0.05349673703312874,0.9384738206863403,0.04181048274040222,-0.09019205719232559,,603,0.04580651596188545,-0.09019205719232559,0.23086875677108765,2.0160186290740967,0.4662344455718994,0.4,41.75,0.24760130047798157,1.3399111032485962
448000,0.8074194192886353,0.15173561871051788,0.8114516139030457,0.050567276775836945,0.8170127868652344,0.004780069459229708,0.14318200945854187,,610,0.04400210082530975,0.14318200945854187,0.36676570773124695,2.009856700897217,0.7539812922477722,0.475,42.5,0.382475346326828,1.3447444438934326
480000,0.4818814694881439,0.06407442688941956,0.48552045226097107,0.036944400519132614,0.4953644871711731,0.004229203797876835,0.06881659477949142,,619,0.016919557005167007,0.06881659477949142,0.19231441617012024,2.0281543731689453,0.8467205166816711,0.475,41.975,0.19470593333244324,1.3201942443847656
512000,0.5398610234260559,1.1782161891460419e-05,0.5489616394042969,0.04808366671204567,0.553504228591919,0.011214742437005043,0.002825964940711856,,624,0.020679868757724762,0.002825964940711856,0.07460815459489822,2.0245814323425293,0.7867914438247681,0.375,39.25,0.0832565426826477,1.3154118061065674
544000,0.6372443437576294,0.08146093785762787,0.6447206735610962,0.03615036606788635,0.6481714844703674,0.010403419844806194,0.07878891378641129,,629,0.03167799487709999,0.07878891378641129,0.22701716423034668,2.016117572784424,0.7411282062530518,0.175,30.2,0.23653489351272583,1.3166974782943726
576000,0.37507420778274536,-0.003896149806678295,0.3783513009548187,0.015084133483469486,0.37775859236717224,0.0039625344797968864,0.00419993232935667,,634,0.010247436352074146,0.00419993232935667,0.06537599116563797,2.002415895462036,0.9005177617073059,0.4,41.175,0.06860249489545822,1.3219801187515259
608000,0.30040308833122253,-0.0013622166588902473,0.30262595415115356,0.01690562814474106,0.30119290947914124,0.0030443251598626375,0.008243693970143795,,638,0.007128206547349691,0.008243693970143795,0.03712359070777893,1.9963102340698242,0.9478268027305603,0.5,43.85,0.03787025436758995,1.317001461982727
640000,0.5194888710975647,-0.1273857206106186,0.5331794023513794,0.014047017320990562,0.531048059463501,0.016118641942739487,-0.1223556399345398,,643,0.016350705176591873,-0.1223556399345398,0.30965855717658997,2.028251886367798,0.8930925130844116,0.425,40.7,0.31317847967147827,1.320542573928833
672000,0.45627784729003906,-0.06096925958991051,0.4600611627101898,0.015627944841980934,0.4525546133518219,0.004808510188013315,-0.052516866475343704,,647,0.00944450031965971,-0.052516866475343704,0.10648997128009796,1.9914003610610962,0.9438313841819763,0.275,35.625,0.10960456728935242,1.3174641132354736
704000,0.3753328025341034,-0.014963550493121147,0.38799598813056946,0.03791719302535057,0.3938935697078705,0.01748104766011238,-0.007971198298037052,,650,0.01239732000976801,-0.007971198298037052,0.09108476340770721,2.0232040882110596,0.905316948890686,0.3,35.625,0.10346006602048874,1.3191012144088745
736000,0.21651026606559753,0.012897337786853313,0.21651026606559753,0.008117328397929668,0.2157638967037201,,0.024520764127373695,,652,0.003995300270617008,0.024520764127373695,0.055135224014520645,1.984283447265625,0.9378493428230286,0.225,32.55,0.056697677820920944,1.3621076345443726
768000,0.294466108083725,0.009493689984083176,0.2949340343475342,0.024021344259381294,0.29860132932662964,0.0005095259984955192,0.01930667646229267,,656,0.006915257778018713,0.01930667646229267,0.08140268921852112,2.00510573387146,0.9475988745689392,0.3,35.725,0.07080778479576111,1.3270615339279175
800000,0.28583914041519165,-0.018946398049592972,0.2894698977470398,0.014865132048726082,0.2889518141746521,0.0045607807114720345,-0.008061088621616364,,658,0.005096124950796366,-0.008061088621616364,0.06000451743602753,1.9944015741348267,0.958553671836853,0.275,34.1,0.05897486209869385,1.3433371782302856
832000,0.21851658821105957,-0.0243645291775465,0.21933121979236603,0.012560001574456692,0.22029085457324982,0.000951789494138211,-0.012570992112159729,,660,0.0028877940494567156,-0.012570992112159729,0.047085050493478775,2.0204262733459473,0.9822975397109985,0.3,35.75,0.05071946978569031,1.323743462562561
864000,0.2725752294063568,-0.060652390122413635,0.27840474247932434,0.023147249594330788,0.277035653591156,0.00757391145452857,-0.05051066726446152,,662,0.006856338586658239,-0.05051066726446152,0.10496045649051666,2.0108094215393066,0.9343651533126831,0.425,41.025,0.1084333136677742,1.3569891452789307
896000,0.32429277896881104,-0.05791362375020981,0.3247917890548706,0.01944703608751297,0.32241830229759216,0.000530218065250665,-0.0479603037238121,,664,0.006982878781855106,-0.0479603037238121,0.10103793442249298,2.007167100906372,0.946010410785675,0.5,44.675,0.10744667798280716,1.3444759845733643
928000,0.3354473412036896,0.004372541792690754,0.33608323335647583,0.02742842212319374,0.3387055993080139,0.0006222868105396628,0.013715304434299469,,667,0.008469688706099987,0.013715304434299469,0.06851054728031158,2.014366626739502,0.8966258764266968,0.325,35.85,0.07405228167772293,1.3577607870101929
960000,0.5642132759094238,0.02583177387714386,0.5687940716743469,0.04328814893960953,0.5685439705848694,0.005663079675287008,0.02700231596827507,,669,0.024879829958081245,0.02700231596827507,0.07490228861570358,2.0044801235198975,0.7148758172988892,0.625,49.5,0.09622190147638321,1.3610455989837646
992000,0.6909843683242798,0.10643429309129715,0.6922796964645386,0.10663177818059921,0.7011992931365967,0.001387895317748189,0.09452130645513535,,671,0.050742603838443756,0.09452130645513535,0.22054024040699005,2.025993824005127,0.6275299787521362,0.425,38.05,0.2798093259334564,1.3458316326141357
1024000,0.538948655128479,-0.029644589871168137,0.5457531213760376,0.04561807960271835,0.5448607206344604,0.008407744579017162,-0.02657884918153286,,673,0.02056315913796425,-0.02657884918153286,0.09536675363779068,2.0125367641448975,0.8491922616958618,0.6,48.025,0.11313429474830627,1.334732174873352
1056000,0.6230484247207642,0.029586905613541603,0.6338699460029602,0.050888244062662125,0.6305216550827026,0.014293174259364605,0.026780182495713234,,674,0.0324685201048851,0.026780182495713234,0.10301487892866135,1.991011619567871,0.6598124504089355,0.45,41.4,0.11543618887662888,1.3427538871765137
1088000,0.8103740811347961,0.0987253487110138,0.8211920857429504,0.07537268847227097,0.8228595852851868,0.012526961974799633,0.08746430277824402,,676,0.048889484256505966,0.08746430277824402,0.2044709175825119,2.0168001651763916,0.6231380701065063,0.575,44.825,0.18725557625293732,1.3183698654174805
1120000,0.5691458582878113,0.02536465972661972,0.5757468938827515,0.05827614665031433,0.603850245475769,0.0062123071402311325,0.027730247005820274,,677,0.02121955342590809,0.027730247005820274,0.07079686969518661,2.0716307163238525,0.7541528940200806,0.775,54.375,0.09223268181085587,1.2975366115570068
1152000,0.5586176514625549,-0.015071526169776917,0.5686472058296204,0.03724687919020653,0.5715579986572266,0.012420947663486004,-0.012680241838097572,,679,0.021224182099103928,-0.012680241838097572,0.09835699200630188,2.010749340057373,0.7034262418746948,1.0,61.225,0.11092492192983627,1.300337553024292
1184000,1.2629746198654175,0.12758919596672058,1.2933201789855957,0.09428176283836365,1.2772417068481445,0.0415448397397995,0.09232665598392487,,681,0.09700710326433182,0.09232665598392487,0.25185954570770264,1.9883095026016235,0.4217488765716553,0.525,45.225,0.25979122519493103,1.3241007328033447
1216000,0.778055727481842,-0.08599518239498138,0.8110296130180359,0.06528586149215698,0.8201307058334351,0.0421626977622509,-0.09354523569345474,,682,0.040766891092061996,-0.09354523569345474,0.23104748129844666,2.047666072845459,0.6617421507835388,0.725,52.125,0.22242337465286255,1.2833397388458252
1248000,0.9298582077026367,-0.020654700696468353,0.9598108530044556,0.10694828629493713,0.9667490720748901,0.039155568927526474,-0.030295833945274353,,683,0.04446854814887047,-0.030295833945274353,0.27427831292152405,2.0363128185272217,0.6689975261688232,1.05,61.475,0.3413333296775818,1.2593140602111816
1280000,0.6517620086669922,0.061130885034799576,0.6545943021774292,0.049242258071899414,0.6487011909484863,0.0032865037210285664,0.05953574180603027,,684,0.028847184032201767,0.05953574180603027,0.14330755174160004,1.9875805377960205,0.8149883151054382,0.575,45.85,0.1494741588830948,1.2828450202941895
1312000,0.9651011228561401,0.15112349390983582,0.979225754737854,0.2114059031009674,0.9754788279533386,0.01772807352244854,0.1270647644996643,,685,0.07316526025533676,0.1270647644996643,0.3350445628166199,2.0019736289978027,0.5525798797607422,0.8,55.45,0.34643709659576416,1.2523901462554932
1344000,0.4748406410217285,-0.05252210795879364,0.48660770058631897,0.099042147397995,0.4854261875152588,0.014290021732449532,-0.04728352651000023,,687,0.014104316011071205,-0.04728352651000023,0.18287810683250427,2.0320847034454346,0.8676879405975342,0.55,45.25,0.16782665252685547,1.2290737628936768
1376000,0.9266613721847534,0.12888510525226593,0.9416621923446655,0.1802709400653839,0.9522150754928589,0.018481051549315453,0.11030551046133041,,688,0.06110548973083496,0.11030551046133041,0.3525708019733429,2.0538978576660156,0.5954598188400269,1.05,65.175,0.3597090542316437,1.1973159313201904
1408000,1.0361814498901367,-0.13503864407539368,1.1024781465530396,0.13752982020378113,1.0788377523422241,0.09742798656225204,-0.15369024872779846,,689,0.0620504729449749,-0.15369024872779846,0.41994932293891907,1.9770758152008057,0.5728456974029541,1.3,72.2,0.4366644322872162,1.237363338470459
1440000,0.7713032364845276,-0.02970084175467491,0.8076472282409668,0.11918074637651443,0.8388884663581848,0.046368349343538284,-0.035535261034965515,,691,0.036083806306123734,-0.035535261034965515,0.17852580547332764,2.0318970680236816,0.740426778793335,1.4,76.325,0.22641319036483765,1.2207483053207397
1472000,0.9686034917831421,0.048087235540151596,0.9999763369560242,0.19163335859775543,1.0278029441833496,0.04009392112493515,0.03241347521543503,,693,0.055597878992557526,0.03241347521543503,0.28210151195526123,2.0281691551208496,0.5898979902267456,1.425,83.4,0.3502097427845001,1.2125179767608643
1504000,1.1690046787261963,-0.1515571027994156,1.2515392303466797,0.18612340092658997,1.281477928161621,0.11443718522787094,-0.17729468643665314,,694,0.07519537210464478,-0.17729468643665314,0.5355935096740723,2.067046642303467,0.47512340545654297,1.375,74.075,0.5818995833396912,1.1860102415084839
1536000,1.0817978382110596,0.1478995680809021,1.108947992324829,0.14128471910953522,1.1631242036819458,0.036034394055604935,0.12733647227287292,,695,0.06399165093898773,0.12733647227287292,0.3781440258026123,2.116029739379883,0.5769175291061401,1.675,85.55,0.4212065041065216,1.1432737112045288
1568000,1.0461980104446411,0.021587779745459557,1.0910190343856812,0.1690817028284073,1.102291226387024,0.05758661776781082,-0.010474607348442078,,696,0.08773317188024521,-0.010474607348442078,0.23503363132476807,2.0534071922302246,0.5521862506866455,1.55,78.45,0.3097009062767029,1.180419921875
1600000,1.0844587087631226,0.02426055818796158,1.1365936994552612,0.1794632077217102,1.1694132089614868,0.0693451464176178,-0.0015422850847244263,,697,0.07529979944229126,-0.0015422850847244263,0.24309812486171722,2.113680362701416,0.5825955867767334,1.975,94.95,0.3003212809562683,1.1847057342529297
1632000,0.9560642242431641,0.024744898080825806,0.9928783178329468,0.13498610258102417,1.0145573616027832,0.048157699406147,0.009679844602942467,,698,0.052725501358509064,0.009679844602942467,0.14927048981189728,2.0277955532073975,0.6762374043464661,2.175,107.9,0.2050158977508545,1.1297695636749268
1664000,0.8538854718208313,0.053475745022296906,0.8722484707832336,0.2301540970802307,0.8859025239944458,0.02216150239109993,0.0376301035284996,,699,0.05383775383234024,0.0376301035284996,0.21737362444400787,2.002659320831299,0.5728076696395874,1.725,94.725,0.302360862493515,1.1073241233825684
1696000,0.7647088170051575,-0.08124430477619171,0.8182663917541504,0.2147539258003235,0.8305639028549194,0.06551037728786469,-0.10262902081012726,,701,0.0638212114572525,-0.10262902081012726,0.34653162956237793,2.189507007598877,0.5946955680847168,2.325,108.575,0.3936910331249237,1.052588701248169
1728000,1.2904725074768066,-0.1703253835439682,1.4227893352508545,0.24077709019184113,1.495890736579895,0.19812063872814178,-0.19151726365089417,,702,0.06410287320613861,-0.19151726365089417,0.5602011680603027,2.079005718231201,0.691413938999176,2.175,99.525,0.6560963988304138,1.085956335067749
1760000,0.7601302862167358,-0.011153988540172577,0.7927177548408508,0.17085523903369904,0.77898108959198,0.04253474995493889,-0.030521869659423828,,704,0.058815937489271164,-0.030521869659423828,0.28274500370025635,2.0442276000976562,0.45812487602233887,2.275,109.35,0.3321255147457123,1.0040087699890137
