mean 100 episode reward,episodes,steps,% time spent exploring
0.3,100,3305,99
0.3,200,6791,99
0.2,300,10020,99
0.2,400,12934,98
0.2,500,16092,98
0.3,600,19550,98
0.3,700,22880,97
0.2,800,25927,97
0.2,900,28977,97
0.4,1000,32725,96
0.2,1100,35756,96
0.2,1200,38732,96
0.2,1300,41885,95
0.3,1400,45445,95
0.3,1500,48852,95
0.3,1600,52359,94
0.4,1700,56285,94
0.3,1800,59763,94
0.4,1900,63533,93
0.2,2000,66662,93
0.3,2100,70071,93
0.3,2200,73423,92
0.4,2300,77017,92
0.3,2400,80606,92
0.3,2500,84166,91
0.5,2600,88457,91
0.2,2700,91693,90
0.4,2800,95428,90
0.3,2900,98868,90
0.6,3000,103677,89
0.3,3100,106970,89
0.4,3200,111032,89
0.4,3300,115058,88
0.4,3400,118968,88
0.5,3500,123168,87
0.3,3600,126626,87
0.4,3700,130506,87
0.6,3800,135150,86
0.4,3900,139161,86
0.4,4000,143116,85
0.5,4100,147557,85
0.5,4200,151917,84
0.4,4300,155689,84
0.4,4400,159505,84
0.4,4500,163541,83
0.4,4600,167395,83
0.5,4700,171819,82
0.4,4800,175956,82
0.5,4900,180333,82
0.5,5000,184684,81
0.5,5100,189062,81
0.6,5200,193660,80
0.6,5300,198210,80
0.4,5400,202118,79
0.5,5500,206529,79
0.8,5600,211820,79
0.5,5700,216010,78
0.4,5800,219964,78
0.5,5900,224169,77
0.6,6000,228688,77
0.6,6100,233295,76
0.8,6200,238712,76
0.7,6300,243691,75
0.6,6400,247987,75
0.5,6500,252388,75
0.5,6600,256688,74
0.6,6700,261298,74
0.5,6800,265691,73
0.6,6900,270465,73
0.7,7000,275361,72
0.7,7100,280192,72
0.7,7200,285229,71
0.4,7300,289336,71
0.7,7400,294451,70
0.9,7500,300221,70
0.7,7600,305274,69
0.7,7700,310206,69
0.7,7800,315482,68
0.7,7900,320410,68
0.7,8000,325243,67
0.9,8100,330858,67
0.8,8200,336234,66
0.9,8300,341826,66
0.6,8400,346268,65
0.8,8500,351713,65
1.2,8600,358816,64
0.8,8700,364120,63
0.7,8800,369118,63
0.7,8900,374120,62
0.8,9000,379578,62
0.8,9100,384956,61
0.8,9200,390220,61
0.7,9300,395227,60
0.9,9400,401414,60
0.7,9500,406638,59
0.9,9600,412266,59
0.8,9700,417777,58
1.0,9800,424049,58
0.8,9900,429485,57
0.9,10000,435068,56
1.1,10100,441866,56
1.1,10200,448205,55
0.8,10300,453601,55
1.0,10400,459668,54
1.4,10500,467122,53
1.1,10600,473681,53
1.1,10700,480235,52
1.2,10800,487229,51
1.2,10900,494077,51
1.2,11000,501025,50
1.2,11100,508371,49
1.6,11200,516693,48
1.2,11300,523856,48
1.2,11400,531025,47
1.6,11500,539358,46
1.3,11600,546769,45
1.3,11700,553917,45
1.4,11800,561271,44
1.7,11900,570024,43
1.7,12000,578559,42
1.5,12100,586237,41
1.5,12200,594198,41
1.6,12300,602516,40
1.9,12400,612040,39
1.8,12500,621047,38
1.6,12600,629127,37
1.7,12700,637877,36
1.6,12800,646368,36
1.9,12900,656140,35
2.3,13000,666915,33
2.2,13100,677324,32
2.1,13200,687157,31
1.9,13300,696657,31
2.0,13400,706231,30
2.8,13500,718648,28
2.1,13600,728543,27
2.6,13700,740047,26
3.0,13800,752781,25
3.0,13900,766165,24
3.1,14000,779697,22
4.0,14100,796330,21
3.8,14200,812010,19
3.4,14300,826234,18
4.3,14400,842923,16
4.3,14500,860170,14
5.2,14600,879952,12
5.0,14700,899720,10
5.3,14800,919799,8
5.1,14900,939459,6
6.4,15000,962914,4
6.8,15100,987187,2
6.7,15200,1011190,1
6.8,15300,1034457,1
7.9,15400,1059099,1
7.2,15500,1082178,1
7.8,15600,1107981,1
7.7,15700,1133962,1
7.7,15800,1158146,1
9.0,15900,1185319,1
8.2,16000,1210067,1
9.4,16100,1238485,1
8.8,16200,1264462,1
9.1,16300,1291113,1
9.7,16400,1319128,1
10.4,16500,1347654,1
9.8,16600,1375717,1
12.0,16700,1407622,1
11.0,16800,1437443,1
11.1,16900,1467737,1
11.5,17000,1497064,1
11.2,17100,1526714,1
12.0,17200,1556656,1
11.2,17300,1584889,1
11.6,17400,1614905,1
