#{"t_start": 1523366654.007085, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,1.33904
1.0,173,1.89449
0.0,129,2.303272
3.0,238,3.077936
1.0,174,3.642415
1.0,155,4.14041
0.0,129,4.549899
1.0,153,5.043205
3.0,246,5.84477
0.0,129,6.258663
0.0,129,6.670479
3.0,252,7.492176
2.0,190,8.10616
0.0,129,8.514977
1.0,176,9.086362
2.0,222,9.808905
0.0,129,10.21957
0.0,127,10.62882
3.0,248,11.434675
0.0,129,11.847702
0.0,129,12.261055
4.0,300,13.24097
0.0,129,13.656399
2.0,202,14.31074
0.0,129,14.721932
1.0,157,15.227067
1.0,177,15.801812
0.0,123,16.195715
2.0,224,16.920039
0.0,125,17.320363
0.0,129,17.73061
0.0,127,18.138697
1.0,155,18.640687
3.0,248,19.446119
1.0,155,19.945218
1.0,157,20.451185
7.0,303,21.439713
4.0,289,22.382089
4.0,300,23.360492
0.0,125,23.763167
0.0,127,24.171325
1.0,173,24.727576
1.0,176,25.295839
1.0,173,25.85517
0.0,127,26.259751
4.0,272,27.144801
1.0,171,27.696828
2.0,206,28.361567
0.0,127,28.763023
0.0,129,29.171982
4.0,298,30.151628
0.0,129,30.562616
0.0,127,30.966185
0.0,125,31.365391
0.0,125,31.765528
0.0,127,32.171088
2.0,205,32.834465
3.0,232,33.587027
0.0,127,33.994485
0.0,127,34.398755
1.0,154,34.89398
1.0,173,35.454267
1.0,173,36.011569
1.0,173,39.973705
0.0,125,42.906387
1.0,158,46.680734
2.0,200,51.607189
0.0,129,54.555205
0.0,129,57.593471
0.0,129,60.623997
0.0,129,63.667034
1.0,173,67.759132
0.0,129,70.793236
3.0,272,77.568197
1.0,153,81.140075
2.0,199,86.030874
2.0,200,90.845805
0.0,129,93.874153
0.0,127,96.810948
1.0,177,101.091923
3.0,232,106.735501
2.0,202,111.653541
1.0,175,115.925901
0.0,125,118.775565
0.0,129,121.807967
6.0,399,131.810285
0.0,129,134.85443
3.0,252,141.108465
2.0,202,146.016999
0.0,129,148.958345
1.0,155,152.709862
0.0,125,155.550061
6.0,382,165.121287
0.0,127,168.164436
4.0,301,175.580826
1.0,176,179.861856
0.0,127,182.800245
4.0,270,189.461599
2.0,207,194.472804
1.0,171,198.642498
0.0,129,201.59199
4.0,304,209.183913
1.0,153,212.841949
1.0,177,217.053388
1.0,174,221.262244
2.0,201,226.163038
1.0,173,230.348672
1.0,157,234.11138
0.0,125,236.946501
2.0,187,241.527139
2.0,203,246.43241
0.0,127,249.359727
0.0,125,252.291788
3.0,271,258.950879
1.0,157,262.707445
2.0,202,267.604738
2.0,203,272.507789
1.0,157,276.263968
4.0,296,283.576891
2.0,202,288.482025
0.0,129,291.515126
0.0,127,294.449108
3.0,234,300.381239
1.0,153,304.026993
0.0,129,307.055689
5.0,346,315.674786
1.0,169,319.735867
2.0,223,325.151197
1.0,173,329.307516
3.0,252,335.438861
1.0,155,339.090371
0.0,127,342.108971
1.0,155,345.757494
2.0,220,351.099128
0.0,129,354.130982
0.0,129,357.168657
0.0,127,360.098041
0.0,125,363.018585
0.0,127,365.948334
0.0,129,368.969903
1.0,155,372.624393
0.0,129,375.651698
2.0,200,380.453482
2.0,188,385.017738
0.0,129,388.041829
2.0,202,392.927151
0.0,127,395.848705
1.0,155,399.509471
2.0,209,404.60351
1.0,173,408.781101
1.0,155,412.441124
1.0,174,416.605643
2.0,200,421.395383
0.0,129,424.417503
1.0,155,428.073798
1.0,175,432.331086
2.0,223,437.745589
0.0,129,440.769998
3.0,232,446.385199
3.0,266,452.928891
2.0,200,457.809054
0.0,129,460.746548
0.0,127,463.768461
0.0,125,466.606264
3.0,239,472.530266
5.0,313,480.21513
1.0,174,484.386733
0.0,127,487.404527
2.0,190,491.986297
0.0,129,494.922228
0.0,129,497.937867
2.0,202,502.821569
0.0,127,505.748427
0.0,125,508.66885
3.0,250,514.80742
1.0,175,518.997421
0.0,129,522.022976
0.0,129,525.042891
2.0,200,529.855052
0.0,127,532.884964
0.0,129,535.821142
4.0,319,543.797617
0.0,127,546.725816
0.0,129,549.750578
0.0,127,552.678115
0.0,129,555.697258
0.0,129,558.627917
4.0,284,565.701005
1.0,173,569.865246
3.0,273,576.516981
2.0,204,581.505306
0.0,127,584.442376
6.0,396,594.395303
1.0,153,597.943393
2.0,204,602.932124
0.0,129,605.965469
0.0,125,608.796956
3.0,252,615.010496
0.0,127,617.940652
2.0,218,623.239929
1.0,172,627.39576
1.0,173,631.461654
2.0,217,636.752381
0.0,127,639.685199
3.0,273,646.452514
0.0,127,649.393521
1.0,173,653.553247
1.0,155,657.217454
5.0,331,665.496892
0.0,129,668.433452
1.0,175,672.691541
1.0,155,676.335565
0.0,129,679.357521
0.0,127,682.285592
1.0,157,686.037205
0.0,129,688.977508
4.0,301,696.446277
1.0,155,700.096252
0.0,125,703.007688
4.0,282,709.971003
1.0,175,714.134899
0.0,127,717.152324
4.0,299,724.519918
1.0,173,728.673293
0.0,129,731.602881
0.0,125,734.517241
2.0,221,739.925662
0.0,129,742.961283
4.0,299,750.338036
0.0,129,753.364969
0.0,129,756.298832
2.0,206,761.286378
4.0,295,768.672864
1.0,174,772.834389
0.0,129,775.766349
0.0,127,778.775577
1.0,173,782.843091
0.0,127,785.858221
2.0,202,790.752444
2.0,205,795.644321
0.0,127,798.65355
1.0,178,802.9204
1.0,157,806.576909
9.0,424,817.230916
0.0,129,820.254866
2.0,220,825.553156
0.0,129,828.601308
3.0,234,834.328579
2.0,201,839.218722
2.0,201,844.007313
0.0,127,847.026994
3.0,252,853.156421
4.0,319,861.053509
0.0,129,864.074834
3.0,237,869.884997
0.0,123,872.710823
2.0,224,878.210193
0.0,129,881.154572
2.0,202,886.038629
0.0,129,889.073639
5.0,352,897.898415
2.0,185,902.278938
1.0,155,906.011802
2.0,202,910.891251
1.0,172,914.952229
5.0,351,923.666238
1.0,173,927.827985
5.0,372,937.136033
0.0,127,940.055767
0.0,127,942.97882
1.0,175,947.143392
2.0,225,952.683298
4.0,299,960.088366
2.0,202,964.986204
0.0,129,968.027644
0.0,123,970.853688
4.0,296,978.223238
0.0,127,981.145407
3.0,256,987.488529
0.0,129,990.434778
1.0,151,994.075047
4.0,299,1001.449429
0.0,129,1004.471628
1.0,153,1008.029587
1.0,155,1011.777954
3.0,251,1017.892879
1.0,171,1021.948936
1.0,176,1026.206987
0.0,129,1029.142808
5.0,348,1037.846559
1.0,173,1042.008108
14.0,563,1056.201927
5.0,310,1063.880269
