steps,episodes,% time spent exploring,mean 100 episode reward
3082,100,99,0.2
6485,200,99,0.3
9508,300,99,0.2
12459,400,98,0.2
16196,500,98,0.4
19637,600,98,0.3
22715,700,97,0.2
25940,800,97,0.2
29006,900,97,0.2
32435,1000,96,0.3
35782,1100,96,0.3
39105,1200,96,0.2
42696,1300,95,0.3
46593,1400,95,0.4
50883,1500,94,0.5
54061,1600,94,0.2
57721,1700,94,0.4
61596,1800,93,0.4
65169,1900,93,0.3
68834,2000,93,0.4
72304,2100,92,0.3
75742,2200,92,0.3
79392,2300,92,0.4
82928,2400,91,0.3
86423,2500,91,0.3
90123,2600,91,0.3
94057,2700,90,0.4
98170,2800,90,0.4
101959,2900,89,0.4
105964,3000,89,0.4
109524,3100,89,0.3
112973,3200,88,0.3
116440,3300,88,0.3
120656,3400,88,0.5
124347,3500,87,0.4
128165,3600,87,0.4
132341,3700,86,0.5
136207,3800,86,0.4
139964,3900,86,0.4
144543,4000,85,0.6
148928,4100,85,0.5
152800,4200,84,0.4
156656,4300,84,0.4
160859,4400,84,0.5
164680,4500,83,0.4
168818,4600,83,0.5
173517,4700,82,0.6
177060,4800,82,0.3
181120,4900,82,0.4
185380,5000,81,0.5
190022,5100,81,0.6
194236,5200,80,0.5
198666,5300,80,0.6
203150,5400,79,0.6
207720,5500,79,0.6
212129,5600,78,0.5
216828,5700,78,0.6
221561,5800,78,0.6
225361,5900,77,0.4
230200,6000,77,0.6
234868,6100,76,0.6
239191,6200,76,0.5
243652,6300,75,0.5
247908,6400,75,0.5
252965,6500,74,0.7
257360,6600,74,0.5
262343,6700,74,0.7
267672,6800,73,0.8
272026,6900,73,0.6
277072,7000,72,0.7
282075,7100,72,0.7
286749,7200,71,0.6
292395,7300,71,0.8
296975,7400,70,0.6
302569,7500,70,0.9
307032,7600,69,0.6
312147,7700,69,0.7
317382,7800,68,0.8
323724,7900,67,1.0
329279,8000,67,0.9
334329,8100,66,0.7
340159,8200,66,0.9
345068,8300,65,0.7
351075,8400,65,0.9
356099,8500,64,0.7
362253,8600,64,1.0
367269,8700,63,0.7
373086,8800,63,0.9
379266,8900,62,1.0
383974,9000,61,0.6
389353,9100,61,0.8
395497,9200,60,1.0
400967,9300,60,0.8
407152,9400,59,1.0
413054,9500,59,0.9
419445,9600,58,1.0
425197,9700,57,0.9
430679,9800,57,0.8
437372,9900,56,1.2
443031,10000,56,0.8
449205,10100,55,1.0
455194,10200,54,0.9
461759,10300,54,1.1
467889,10400,53,1.0
474768,10500,52,1.2
481264,10600,52,1.1
487271,10700,51,1.0
493550,10800,51,1.0
500147,10900,50,1.1
506361,11000,49,1.0
512788,11100,49,1.1
520467,11200,48,1.4
527271,11300,47,1.2
533810,11400,47,1.1
540640,11500,46,1.2
548532,11600,45,1.4
556550,11700,44,1.4
563905,11800,44,1.3
571721,11900,43,1.5
578785,12000,42,1.2
586270,12100,41,1.4
593483,12200,41,1.3
602024,12300,40,1.7
610516,12400,39,1.7
618513,12500,38,1.5
626308,12600,37,1.5
636141,12700,37,2.1
644542,12800,36,1.6
654211,12900,35,2.0
663272,13000,34,1.9
672527,13100,33,1.8
681528,13200,32,1.8
691915,13300,31,2.1
702106,13400,30,2.1
712017,13500,29,2.1
721659,13600,28,2.0
733809,13700,27,2.7
745289,13800,26,2.7
757775,13900,24,2.8
770082,14000,23,2.8
782551,14100,22,2.8
797786,14200,21,3.6
811487,14300,19,3.2
826089,14400,18,3.4
839851,14500,16,3.2
854684,14600,15,3.5
871288,14700,13,4.1
886755,14800,12,3.8
904190,14900,10,4.4
922296,15000,8,4.5
943246,15100,6,5.4
963064,15200,4,5.1
984349,15300,2,5.5
1008965,15400,1,6.6
1030535,15500,1,5.9
1054772,15600,1,6.6
1078640,15700,1,6.6
1102493,15800,1,6.5
1126596,15900,1,6.7
1151222,16000,1,7.5
1174500,16100,1,7.1
1200729,16200,1,7.9
1224920,16300,1,7.3
1252013,16400,1,8.6
1278216,16500,1,7.8
1305161,16600,1,8.3
1331013,16700,1,8.3
1356977,16800,1,8.5
1385671,16900,1,9.7
1414455,17000,1,9.9
1440016,17100,1,9.0
1469204,17200,1,10.0
1494785,17300,1,9.1
1521674,17400,1,9.9
1549073,17500,1,9.9
1578743,17600,1,10.4
1606890,17700,1,10.1
1633629,17800,1,10.7
1661293,17900,1,10.5
1688533,18000,1,9.6
1719502,18100,1,12.4
1750334,18200,1,12.6
1778818,18300,1,10.0
1809383,18400,1,12.0
1837332,18500,1,10.2
1870058,18600,1,12.5
1901802,18700,1,12.7
1936097,18800,1,15.0
1969805,18900,1,14.5
2002224,19000,1,13.1
2036435,19100,1,13.6
2069725,19200,1,14.0
2104606,19300,1,14.3
2141510,19400,1,14.1
2175901,19500,1,14.2
2212146,19600,1,14.4
2242764,19700,1,12.4
2277319,19800,1,15.2
2312239,19900,1,15.2
2352063,20000,1,16.2
2384491,20100,1,13.0
2419319,20200,1,15.5
2456965,20300,1,14.6
2493125,20400,1,16.2
2527147,20500,1,13.0
2558451,20600,1,13.3
2591995,20700,1,13.7
2632092,20800,1,14.6
2664333,20900,1,13.3
2694328,21000,1,13.4
2731422,21100,1,15.3
2765935,21200,1,14.3
2802130,21300,1,15.4
2835679,21400,1,14.5
2871194,21500,1,14.7
2908802,21600,1,16.4
2940795,21700,1,14.2
2973910,21800,1,14.0
3004708,21900,1,12.3
3037268,22000,1,13.7
3070948,22100,1,13.4
3102843,22200,1,13.6
3137373,22300,1,15.0
3171742,22400,1,14.8
3206427,22500,1,14.9
3238910,22600,1,13.6
3268959,22700,1,11.9
3302281,22800,1,14.5
3340094,22900,1,14.7
3376054,23000,1,14.7
