#{"t_start": 1514837421.6075358, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,325.96897
0.0,129,326.347073
0.0,127,326.72044
2.0,225,327.382458
0.0,127,327.754387
2.0,202,328.350183
0.0,127,328.723143
0.0,129,329.106682
2.0,202,329.701815
2.0,206,330.309198
0.0,127,330.683125
0.0,129,331.062413
2.0,186,331.613668
3.0,268,332.414651
2.0,218,333.06574
1.0,175,333.579348
0.0,127,333.9506
0.0,129,334.329402
0.0,127,334.69968
1.0,157,335.164609
0.0,129,335.543832
2.0,204,336.153391
2.0,202,336.749765
4.0,304,337.715785
0.0,127,338.088251
0.0,127,338.462939
0.0,123,338.829479
2.0,200,339.424287
1.0,171,339.928886
4.0,321,340.893236
0.0,129,341.272976
0.0,123,341.633262
0.0,125,341.999701
0.0,129,342.379897
0.0,123,342.739036
0.0,127,343.116599
1.0,173,343.629922
5.0,374,344.754528
2.0,222,345.411763
3.0,252,346.16503
0.0,125,346.531269
1.0,155,346.992136
0.0,125,347.361702
4.0,303,348.268864
3.0,251,349.017841
5.0,352,350.072906
1.0,171,350.581175
8.0,377,351.703751
0.0,129,352.083433
2.0,204,352.689641
0.0,129,353.074437
0.0,129,353.455878
10.0,433,354.755889
0.0,129,355.134935
0.0,127,355.509874
0.0,127,355.882098
2.0,202,356.476144
3.0,229,357.15692
3.0,274,358.395655
0.0,127,359.298329
0.0,127,360.221809
11.0,500,364.007839
2.0,200,365.483128
0.0,129,366.377404
3.0,278,368.434152
3.0,250,370.280852
2.0,202,371.770483
2.0,225,373.431751
1.0,155,374.552909
1.0,155,375.690594
3.0,253,377.553763
0.0,129,378.481796
2.0,220,380.110814
0.0,127,381.004174
1.0,153,382.116558
0.0,129,383.014112
0.0,127,383.918111
0.0,129,384.812624
1.0,173,386.081224
2.0,200,387.545862
3.0,251,389.396423
0.0,127,390.287275
0.0,129,391.208232
0.0,129,392.130496
3.0,272,394.136165
1.0,175,395.395996
0.0,129,396.318465
0.0,129,397.239937
1.0,172,398.466961
2.0,202,399.944135
0.0,129,400.863816
1.0,155,401.971772
1.0,157,403.104113
1.0,175,404.370378
1.0,171,405.615432
2.0,225,407.256602
3.0,251,409.125859
4.0,320,411.499669
2.0,225,413.154433
1.0,174,414.414436
1.0,175,415.670076
0.0,125,416.553711
2.0,204,418.040058
0.0,129,418.9562
0.0,129,419.87152
4.0,264,421.821167
2.0,220,423.44277
0.0,127,424.335988
1.0,172,425.584497
0.0,127,426.477324
1.0,173,427.728961
5.0,370,430.493965
0.0,129,431.396711
9.0,428,434.608399
1.0,157,435.739951
0.0,129,437.002557
0.0,129,437.921522
5.0,349,440.534063
2.0,202,441.998147
1.0,170,443.229505
1.0,158,444.366907
3.0,250,446.202446
2.0,206,447.711129
3.0,266,449.673184
2.0,202,451.14639
0.0,125,452.042468
2.0,200,453.485231
0.0,129,454.399269
1.0,173,455.656778
1.0,175,456.911336
2.0,207,458.419322
5.0,292,460.586635
1.0,173,461.818911
3.0,270,463.806648
0.0,127,464.715327
3.0,275,466.748279
3.0,252,468.592863
4.0,319,470.979551
1.0,170,472.202174
5.0,337,474.702178
4.0,281,476.777053
0.0,129,477.691928
1.0,175,478.949398
0.0,129,479.865657
1.0,157,481.001853
0.0,127,481.897376
2.0,202,483.365173
2.0,200,484.817019
0.0,129,485.732187
2.0,222,487.356591
0.0,129,488.278624
1.0,173,489.528951
1.0,175,490.791191
0.0,129,491.714874
2.0,223,493.338212
0.0,129,494.251988
1.0,152,495.338176
0.0,125,496.219306
0.0,127,497.105562
1.0,155,498.207373
0.0,129,499.121434
3.0,269,501.106299
2.0,222,502.736421
0.0,129,503.646458
1.0,171,504.86333
0.0,129,505.779697
0.0,129,506.680492
1.0,171,507.927898
1.0,153,509.00451
1.0,173,510.264601
0.0,127,511.155809
2.0,200,512.616689
3.0,251,514.459235
2.0,199,515.896239
2.0,186,517.247765
0.0,129,518.162375
1.0,171,519.388412
0.0,127,520.301779
0.0,129,521.203639
0.0,129,522.121856
2.0,185,523.463474
1.0,175,524.732393
0.0,127,525.619107
0.0,123,526.497401
0.0,129,527.39237
5.0,338,529.909496
1.0,177,531.196872
3.0,230,532.885791
2.0,200,534.354781
1.0,157,535.464646
0.0,129,536.379668
2.0,200,537.849889
3.0,253,539.711654
3.0,230,541.397806
0.0,127,542.31114
1.0,157,543.424239
7.0,323,545.848283
0.0,127,546.747617
0.0,129,547.663389
1.0,157,548.779464
1.0,155,549.911599
1.0,173,551.139537
1.0,173,552.394445
1.0,173,553.647649
1.0,159,554.781331
1.0,155,555.888846
0.0,125,556.778024
1.0,177,558.055609
1.0,173,559.304686
0.0,127,560.20021
2.0,217,561.777783
1.0,153,562.857955
0.0,129,563.778881
0.0,125,564.666554
0.0,129,565.579018
3.0,249,567.407322
0.0,129,568.320882
4.0,279,570.380959
0.0,129,571.294739
1.0,157,572.42187
1.0,175,573.679965
0.0,125,574.574885
0.0,125,575.45819
0.0,127,576.349727
0.0,129,577.264409
1.0,159,578.405894
0.0,125,579.289101
0.0,129,580.191036
0.0,129,581.107347
4.0,296,583.310192
3.0,250,585.13872
11.0,484,588.749069
0.0,129,589.672612
0.0,125,590.558434
1.0,158,591.686546
1.0,175,592.951667
0.0,127,593.840085
0.0,127,594.727879
1.0,172,595.96696
3.0,230,597.65014
3.0,230,599.329291
5.0,352,601.931623
1.0,157,603.058692
1.0,178,604.346447
0.0,127,605.238549
0.0,127,606.144222
1.0,174,607.393708
0.0,125,608.253278
1.0,170,609.474097
5.0,310,611.781293
0.0,127,612.685989
1.0,153,613.765761
2.0,223,615.410927
1.0,176,616.670455
0.0,129,617.586183
2.0,202,619.053609
9.0,398,622.028952
0.0,129,622.942294
4.0,299,625.147237
0.0,127,626.037987
4.0,301,628.26352
4.0,326,630.678322
3.0,248,632.491834
2.0,222,634.10885
1.0,155,635.226117
4.0,320,637.600192
2.0,208,639.123831
1.0,157,640.246407
2.0,200,641.711025
0.0,125,642.592718
1.0,155,643.703455
2.0,204,645.176033
3.0,250,647.019298
5.0,350,649.623941
1.0,173,650.882663
0.0,127,651.777369
2.0,219,653.385423
0.0,125,654.253656
1.0,153,655.357367
2.0,200,656.822917
2.0,226,658.483895
2.0,226,660.129438
2.0,203,661.603599
1.0,157,662.730464
2.0,183,664.044366
1.0,157,665.177581
0.0,129,666.080409
0.0,129,666.98838
0.0,127,667.873898
0.0,129,668.788414
0.0,125,669.679459
2.0,222,671.300921
0.0,127,672.194455
1.0,176,673.477509
3.0,250,675.309285
1.0,173,676.548186
4.0,274,678.563063
0.0,125,679.443532
1.0,157,680.57453
0.0,127,681.466236
0.0,127,682.349975
1.0,178,683.638338
0.0,127,684.550732
1.0,171,685.774808
1.0,155,686.87601
7.0,430,690.093844
3.0,270,692.087451
0.0,129,693.002096
8.0,377,695.82099
0.0,129,696.716824
1.0,151,697.815687
3.0,272,699.817055
1.0,176,701.093759
2.0,204,702.563809
1.0,174,703.816913
1.0,174,705.072898
3.0,249,706.902638
4.0,299,709.103631
2.0,190,710.473195
4.0,299,712.67253
4.0,283,714.766115
1.0,153,715.847626
0.0,127,716.763051
1.0,152,717.841915
2.0,186,719.18456
2.0,201,720.656022
2.0,202,722.122245
0.0,127,723.010303
0.0,125,723.898484
0.0,127,724.792464
4.0,298,726.997305
2.0,202,728.471447
0.0,127,729.361547
0.0,127,730.26989
1.0,157,731.388703
1.0,155,732.514343
3.0,251,734.358515
5.0,322,736.759485
1.0,159,737.899949
14.0,526,741.869503
0.0,127,742.76773
1.0,174,744.029176
3.0,253,745.901426
0.0,129,746.818973
0.0,127,747.715052
1.0,176,749.006208
1.0,155,750.114282
3.0,251,751.962923
3.0,252,753.841938
2.0,224,755.485399
3.0,271,757.494372
8.0,369,760.245496
2.0,205,761.747528
0.0,127,762.638027
3.0,248,764.482845
2.0,185,765.816121
0.0,127,766.731843
0.0,123,767.602897
0.0,129,768.519774
5.0,350,771.127889
0.0,125,772.002696
2.0,202,773.471035
1.0,153,774.570072
3.0,277,776.625103
2.0,201,778.096259
0.0,125,778.966878
3.0,274,780.980358
1.0,176,782.265565
1.0,155,783.371972
5.0,327,785.799232
4.0,321,788.182122
2.0,222,789.810751
4.0,301,792.03907
0.0,129,792.956404
0.0,129,793.850977
4.0,302,796.092906
3.0,233,797.79761
1.0,157,798.928751
3.0,250,800.774198
0.0,129,801.690289
2.0,201,803.146625
1.0,155,804.279291
4.0,281,806.341799
0.0,129,807.266906
3.0,250,809.102224
0.0,127,809.991783
2.0,221,811.613165
2.0,201,813.087406
0.0,127,813.983575
0.0,125,814.870638
7.0,324,817.265104
0.0,125,818.153179
1.0,157,819.280254
1.0,153,820.382963
0.0,129,821.281349
5.0,335,823.783598
0.0,125,824.659573
2.0,224,826.309472
0.0,125,827.197843
1.0,170,828.42521
0.0,127,829.314181
1.0,159,830.45234
2.0,204,831.950456
1.0,157,833.061078
1.0,175,834.344684
2.0,187,835.693316
3.0,269,837.681594
1.0,172,838.914428
1.0,175,840.184867
5.0,352,842.828664
0.0,127,843.721295
0.0,129,844.640697
2.0,202,846.136266
0.0,127,847.027426
3.0,248,848.858954
0.0,127,849.749456
0.0,125,850.63305
3.0,272,852.64217
1.0,173,853.896433
4.0,261,855.828549
0.0,129,856.727674
0.0,127,857.631952
2.0,204,859.115201
1.0,155,860.232257
5.0,333,862.729923
1.0,173,863.985177
2.0,224,865.62127
4.0,301,867.861973
1.0,157,868.990067
0.0,127,869.879053
2.0,202,871.355833
0.0,129,872.266807
0.0,127,873.155978
0.0,129,874.072678
0.0,127,874.969126
1.0,153,876.062096
0.0,129,876.97701
0.0,129,877.87283
1.0,155,879.00261
1.0,178,880.296057
0.0,123,881.166221
3.0,270,883.157765
2.0,204,884.651359
2.0,188,886.027116
2.0,198,887.474011
2.0,204,888.963466
0.0,129,889.883057
0.0,129,890.79985
1.0,173,892.063184
0.0,127,892.961232
1.0,177,894.253076
1.0,176,895.526683
0.0,129,896.445159
5.0,329,898.905075
2.0,203,900.385718
1.0,156,901.503802
1.0,175,902.787037
3.0,250,904.6279
2.0,201,906.079571
1.0,174,907.338575
0.0,127,908.253662
1.0,157,909.366265
4.0,277,911.411951
0.0,125,912.302351
2.0,185,913.650927
1.0,171,914.876142
2.0,225,916.531683
1.0,155,917.636811
3.0,267,919.604099
0.0,129,920.524581
2.0,204,921.998329
3.0,216,923.589762
0.0,129,924.509714
3.0,272,926.502875
1.0,155,927.614184
0.0,123,928.498574
0.0,129,929.395762
0.0,129,930.318676
1.0,175,931.588049
2.0,201,933.057702
0.0,127,933.949172
0.0,127,934.863935
4.0,269,936.835315
2.0,220,938.451127
4.0,301,940.694891
1.0,154,941.798737
2.0,201,943.251569
2.0,183,944.591174
2.0,202,946.062707
0.0,127,946.947192
2.0,182,948.266505
3.0,268,950.246062
5.0,351,952.873436
3.0,214,954.438133
0.0,127,955.329426
1.0,155,956.437491
3.0,270,958.435906
1.0,173,959.682908
0.0,129,960.601166
0.0,129,961.494684
1.0,175,962.767078
4.0,284,964.862675
0.0,129,965.774195
2.0,205,967.274524
4.0,296,969.459986
4.0,280,971.539289
0.0,129,972.447599
0.0,127,973.363295
5.0,367,976.094853
0.0,129,977.007546
0.0,127,977.898379
2.0,202,979.367997
0.0,125,980.252609
1.0,175,981.503345
0.0,129,982.424712
1.0,157,983.537014
0.0,129,984.451535
0.0,125,985.333861
2.0,184,986.661982
4.0,299,988.875144
0.0,125,989.743513
3.0,256,991.630447
4.0,317,993.98854
1.0,176,995.246786
4.0,301,997.482306
9.0,406,1000.503684
4.0,322,1002.886777
0.0,127,1003.778066
2.0,201,1005.247953
2.0,200,1006.685178
2.0,181,1007.992044
2.0,199,1009.431351
1.0,155,1010.552165
2.0,223,1012.182373
4.0,283,1014.261729
4.0,299,1016.471272
3.0,232,1018.17797
1.0,169,1019.405972
1.0,178,1020.687202
2.0,226,1022.332859
6.0,395,1025.266811
2.0,202,1026.735634
0.0,129,1027.651329
0.0,127,1028.539606
1.0,176,1029.800628
1.0,175,1031.071411
5.0,310,1033.366263
2.0,203,1034.838034
9.0,420,1037.992212
2.0,203,1039.483034
1.0,171,1040.710176
2.0,222,1042.331089
1.0,155,1043.438324
2.0,201,1044.907726
4.0,316,1047.223214
0.0,127,1048.133699
5.0,373,1050.890589
1.0,174,1052.154852
2.0,221,1053.768592
5.0,352,1056.393749
1.0,175,1057.648053
3.0,250,1059.487269
3.0,233,1061.193629
2.0,199,1062.640502
2.0,203,1064.58956
2.0,185,1065.937106
1.0,175,1067.198965
3.0,211,1068.732393
2.0,202,1070.205642
2.0,221,1071.819138
2.0,226,1073.467142
1.0,176,1074.744419
3.0,231,1076.419475
6.0,375,1079.200642
2.0,181,1080.5143
9.0,401,1083.49175
0.0,127,1084.381178
3.0,223,1086.004381
3.0,232,1087.707876
2.0,224,1089.336858
1.0,176,1090.613163
1.0,173,1091.848943
0.0,125,1092.733453
2.0,186,1094.070267
2.0,205,1095.570787
3.0,254,1097.433803
2.0,220,1099.032139
5.0,326,1101.437004
2.0,222,1103.055922
1.0,157,1104.181073
1.0,175,1105.432268
4.0,322,1107.815129
2.0,201,1109.278989
5.0,325,1111.690248
5.0,344,1114.217299
1.0,173,1115.462485
1.0,157,1116.589955
3.0,272,1118.582525
3.0,216,1120.158797
0.0,125,1121.041089
2.0,227,1122.692053
0.0,125,1123.576624
2.0,224,1125.201352
0.0,129,1126.108016
1.0,177,1127.380961
4.0,268,1129.348533
0.0,129,1130.267033
0.0,125,1131.150964
3.0,249,1132.963644
0.0,129,1133.873302
2.0,205,1135.371808
1.0,176,1136.631521
0.0,125,1137.51483
0.0,125,1138.39403
1.0,173,1139.652415
1.0,175,1140.901958
2.0,202,1142.362625
4.0,320,1144.719528
0.0,129,1145.636622
2.0,184,1146.971503
4.0,277,1149.011244
4.0,305,1151.275464
3.0,249,1153.111581
3.0,253,1154.971708
1.0,157,1156.09009
1.0,173,1157.341247
1.0,178,1158.625801
3.0,254,1160.491458
0.0,125,1161.375158
0.0,127,1162.261724
14.0,506,1166.060929
1.0,155,1167.167528
2.0,185,1168.509595
1.0,171,1169.732991
5.0,352,1172.368204
1.0,176,1173.629169
0.0,129,1174.542578
0.0,125,1175.433348
1.0,173,1176.689672
3.0,248,1178.49919
2.0,204,1179.997612
2.0,186,1181.348547
10.0,456,1184.755078
1.0,175,1186.009936
1.0,174,1187.258079
1.0,155,1188.379353
2.0,200,1189.823281
3.0,230,1191.497423
1.0,173,1192.748236
1.0,173,1193.99942
3.0,252,1195.832063
1.0,174,1197.080348
1.0,175,1198.338815
1.0,177,1199.617471
4.0,283,1201.692198
2.0,206,1203.175964
2.0,200,1204.640437
4.0,265,1206.588341
1.0,155,1207.694819
1.0,155,1208.804072
2.0,225,1210.44478
3.0,253,1212.310906
2.0,201,1213.749575
4.0,319,1216.115505
0.0,125,1216.974057
3.0,268,1218.950584
3.0,250,1220.781701
3.0,230,1222.454287
4.0,274,1224.470956
0.0,127,1225.3526
2.0,224,1227.003931
3.0,254,1228.853345
3.0,251,1230.68876
3.0,213,1232.237887
3.0,248,1234.056856
4.0,283,1236.142026
1.0,157,1237.269626
2.0,203,1238.740457
4.0,301,1240.967573
1.0,175,1242.225691
2.0,204,1243.711269
2.0,207,1245.210633
0.0,127,1246.097678
2.0,204,1247.586628
5.0,332,1250.026088
2.0,202,1251.498279
3.0,251,1253.349573
1.0,157,1254.461808
1.0,177,1255.756715
1.0,155,1256.85462
0.0,127,1257.757785
3.0,236,1259.475895
1.0,175,1260.729443
6.0,395,1263.67452
8.0,373,1266.423292
3.0,216,1267.994814
2.0,203,1269.470507
1.0,170,1270.695591
0.0,127,1271.574184
4.0,300,1273.786721
3.0,231,1275.456797
2.0,203,1276.924231
2.0,222,1278.543018
2.0,221,1280.16247
2.0,201,1281.62549
1.0,157,1282.750926
2.0,220,1284.346715
0.0,129,1285.26005
0.0,129,1286.171107
1.0,155,1287.270567
6.0,375,1290.057336
3.0,236,1291.79452
3.0,253,1293.632159
6.0,354,1296.259553
6.0,400,1299.252479
0.0,125,1300.136834
8.0,346,1302.695215
3.0,249,1304.49605
1.0,155,1305.607498
4.0,302,1307.842684
2.0,208,1309.336367
2.0,205,1310.83226
4.0,318,1313.174359
1.0,174,1314.433927
5.0,349,1317.013166
3.0,278,1319.057201
3.0,209,1320.558698
2.0,224,1322.205778
1.0,175,1323.449797
1.0,175,1324.700877
2.0,204,1326.192391
