#{"t_start": 1514947592.613326, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,231,324.212114
1.0,157,326.136092
1.0,153,328.008071
2.0,185,330.269679
1.0,157,332.167397
4.0,301,336.048429
1.0,173,338.111478
2.0,180,340.31884
2.0,184,342.591339
0.0,127,344.120752
1.0,155,346.041669
1.0,152,347.851996
3.0,256,351.076037
4.0,265,354.367988
1.0,176,356.564131
2.0,200,359.078475
2.0,198,361.565594
0.0,129,363.071283
4.0,301,366.851069
0.0,127,368.289572
3.0,250,371.39422
1.0,157,373.316698
0.0,125,374.767713
0.0,129,376.285086
0.0,123,377.772063
1.0,155,379.62841
0.0,123,381.13877
0.0,129,382.690928
2.0,185,384.952986
0.0,129,386.513177
10.0,472,392.510946
0.0,125,393.897896
9.0,404,398.964828
2.0,200,401.353951
2.0,200,403.809512
0.0,129,405.331155
0.0,127,406.851889
0.0,129,408.359655
0.0,125,409.859838
4.0,299,413.565273
0.0,127,415.066731
0.0,129,416.60024
0.0,125,418.059262
4.0,275,421.463116
0.0,129,422.949234
2.0,200,425.34231
5.0,328,429.43759
2.0,204,431.858977
0.0,125,433.287917
0.0,129,434.848285
0.0,123,436.274178
4.0,299,440.014585
9.0,403,445.110213
0.0,127,446.631425
6.0,379,451.519449
3.0,250,454.609025
0.0,129,456.113501
0.0,129,457.635192
1.0,175,459.799023
2.0,221,462.445925
2.0,204,464.918871
0.0,125,466.414623
1.0,173,468.443469
0.0,127,469.912506
0.0,123,471.386947
1.0,175,473.548778
1.0,175,475.605479
0.0,127,477.085609
1.0,173,479.187124
0.0,129,480.715013
3.0,247,483.825241
0.0,127,485.323901
1.0,171,487.407866
2.0,200,489.916856
1.0,155,491.784548
0.0,127,493.303482
0.0,125,494.711298
1.0,171,496.827172
1.0,155,498.715432
0.0,127,500.222403
0.0,125,501.670413
1.0,175,503.86549
3.0,252,507.003101
5.0,330,511.203187
1.0,177,513.325341
2.0,202,515.774988
6.0,402,520.879763
5.0,351,525.277764
0.0,129,526.768186
5.0,348,531.096782
0.0,125,532.533716
0.0,129,534.078432
4.0,299,537.764459
0.0,127,539.24134
3.0,248,542.331439
0.0,127,543.870676
2.0,202,546.335132
1.0,175,548.459354
3.0,246,551.519214
6.0,382,556.402471
1.0,172,558.56048
1.0,173,560.631343
0.0,127,562.166499
0.0,127,563.672347
0.0,127,565.217618
1.0,157,567.097084
0.0,127,568.643493
0.0,127,570.195685
0.0,127,571.727321
1.0,178,573.901297
2.0,202,576.430508
1.0,173,578.480036
1.0,175,580.559285
3.0,272,583.92334
0.0,125,585.431098
4.0,299,589.08344
3.0,269,592.325127
0.0,127,593.779839
0.0,125,595.168211
0.0,129,596.681366
1.0,173,598.703212
1.0,170,600.751685
2.0,202,603.299617
1.0,156,605.176944
0.0,129,606.705552
0.0,129,608.235696
2.0,200,610.627453
4.0,300,614.495505
0.0,127,616.028979
0.0,129,617.564575
2.0,202,620.059098
1.0,171,622.151863
0.0,127,623.61399
0.0,125,625.029536
0.0,125,626.498111
4.0,279,629.968402
2.0,200,632.476216
0.0,127,634.019979
4.0,300,637.768068
0.0,127,639.338711
1.0,176,641.490592
2.0,221,644.29404
9.0,382,649.159824
0.0,129,650.674344
2.0,204,653.227335
0.0,129,654.730744
2.0,220,657.323217
2.0,223,660.048292
0.0,129,661.543638
2.0,222,664.311428
0.0,127,665.826981
2.0,225,668.591393
0.0,129,670.086037
0.0,125,671.524466
1.0,173,673.550543
2.0,198,676.006112
1.0,176,678.135071
0.0,127,679.652196
1.0,155,681.504425
0.0,125,682.957618
1.0,175,685.101851
0.0,129,686.558264
