#{"t_start": 1514956012.6673234, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,125,322.889867
2.0,200,325.334967
2.0,201,327.779579
0.0,123,329.190686
3.0,248,332.302073
0.0,129,333.860129
1.0,174,335.943308
0.0,125,337.382438
2.0,222,340.131892
1.0,171,342.190363
1.0,171,344.290644
0.0,127,345.78198
1.0,173,347.908092
2.0,202,350.402244
0.0,127,351.919485
2.0,200,354.334906
2.0,224,357.143414
0.0,129,358.629246
1.0,155,360.475154
1.0,172,362.587555
0.0,127,364.067272
2.0,201,366.601504
0.0,127,368.071584
0.0,127,369.581831
1.0,173,371.711694
2.0,204,374.203008
0.0,129,375.679465
1.0,176,377.797549
3.0,232,380.687063
1.0,174,382.806625
0.0,129,384.335698
1.0,175,386.486904
0.0,129,388.039432
1.0,171,390.076275
2.0,206,392.608643
0.0,127,394.103186
1.0,173,396.200137
0.0,127,397.705603
1.0,155,399.582052
2.0,205,402.080892
0.0,123,403.545121
2.0,207,406.033466
1.0,153,407.902904
0.0,127,409.372745
1.0,171,411.470519
2.0,201,413.931648
4.0,279,417.321558
0.0,127,418.790916
4.0,281,422.309496
3.0,250,425.440367
1.0,175,427.598536
2.0,224,430.340729
0.0,127,431.852508
3.0,270,435.206067
3.0,230,438.064531
1.0,173,440.16771
0.0,129,441.643063
1.0,169,443.689555
1.0,177,445.851984
1.0,152,447.7065
0.0,129,449.321465
1.0,155,451.182354
0.0,129,452.664938
2.0,201,456.472416
10.0,433,466.174231
1.0,155,469.395149
1.0,155,472.636749
3.0,274,478.528547
0.0,123,480.930732
0.0,127,483.127217
0.0,129,485.815493
0.0,129,488.092587
1.0,157,491.023699
0.0,129,493.432456
2.0,206,497.310642
2.0,219,501.694673
1.0,175,505.114228
3.0,251,510.551316
3.0,248,516.113194
0.0,127,518.799329
0.0,129,520.835854
0.0,127,523.707211
3.0,209,528.172932
1.0,177,531.779755
3.0,211,536.814923
0.0,129,538.79403
0.0,125,540.810522
0.0,129,543.623955
2.0,219,548.326238
1.0,177,551.761445
2.0,200,555.67283
0.0,129,558.433574
2.0,202,562.781588
0.0,127,565.041977
1.0,173,568.623966
0.0,129,571.238782
4.0,284,577.339128
0.0,127,579.713406
2.0,202,583.962114
4.0,262,588.887061
1.0,155,591.918399
4.0,262,597.841935
5.0,349,605.084325
1.0,170,608.262582
3.0,250,613.529442
0.0,127,615.627524
6.0,380,623.725352
0.0,127,626.093706
0.0,125,628.503089
1.0,169,632.936691
2.0,226,637.712223
0.0,129,640.768127
0.0,129,643.550941
0.0,129,645.950226
1.0,175,649.38864
3.0,266,654.583598
5.0,348,662.544976
3.0,250,667.710137
4.0,300,673.879345
2.0,221,678.278212
1.0,153,681.234442
1.0,153,684.438199
1.0,157,687.546035
0.0,127,690.148931
0.0,127,692.91187
0.0,127,695.173896
0.0,125,697.702293
0.0,129,700.163754
3.0,269,705.404299
0.0,129,708.391042
15.0,555,720.877089
1.0,175,724.694326
0.0,127,727.283531
0.0,129,730.118441
0.0,125,732.475485
0.0,129,735.27199
3.0,248,740.039981
0.0,127,742.027297
5.0,350,749.12446
11.0,501,759.610297
2.0,200,763.518868
12.0,407,772.103139
0.0,127,774.896636
5.0,372,782.368169
4.0,277,788.084148
5.0,352,795.702363
4.0,297,801.856591
5.0,350,808.809278
9.0,404,817.764897
4.0,299,824.061362
5.0,352,830.760619
2.0,200,834.795762
0.0,127,837.348031
2.0,202,841.970806
1.0,176,845.426756
2.0,204,849.68172
0.0,129,851.908267
0.0,129,854.242656
0.0,125,856.558419
4.0,319,863.014426
0.0,125,865.386293
0.0,125,867.455338
2.0,202,871.037777
2.0,202,874.879592
0.0,129,877.226843
5.0,326,883.475108
0.0,127,886.101155
0.0,129,888.476023
0.0,127,890.729506
2.0,202,894.582381
9.0,404,903.724283
2.0,202,908.187757
0.0,127,911.118742
6.0,397,919.593189
0.0,127,922.272903
2.0,202,926.215205
2.0,200,930.338645
5.0,329,936.949421
0.0,129,939.504975
0.0,129,942.23896
5.0,350,950.036395
0.0,129,952.667177
0.0,129,955.642681
0.0,125,958.177364
0.0,127,960.735189
0.0,125,963.059551
0.0,129,965.450621
5.0,350,972.581894
0.0,129,975.573649
0.0,127,978.0971
9.0,404,986.452327
10.0,448,995.67015
0.0,129,998.010362
2.0,202,1001.887156
0.0,129,1004.062633
0.0,127,1006.505211
0.0,127,1009.054734
4.0,297,1015.578799
0.0,129,1018.555085
4.0,277,1023.758341
0.0,129,1026.714847
3.0,271,1032.259629
0.0,127,1034.664896
4.0,297,1041.207053
6.0,402,1049.86992
6.0,378,1057.749622
2.0,200,1062.083402
0.0,125,1064.322374
3.0,246,1069.708564
0.0,127,1071.979917
0.0,129,1074.22877
0.0,129,1076.603842
3.0,228,1080.993934
0.0,127,1083.35392
0.0,129,1085.995746
10.0,450,1095.395731
0.0,127,1097.383181
0.0,129,1099.938139
0.0,129,1102.672049
0.0,129,1104.952816
0.0,127,1107.368583
0.0,127,1109.838433
5.0,350,1117.046793
2.0,202,1120.561122
3.0,250,1126.018769
5.0,350,1133.20345
2.0,202,1137.09381
0.0,129,1139.380029
0.0,129,1142.667372
5.0,350,1149.904305
9.0,404,1157.595288
6.0,379,1166.178557
9.0,404,1175.11832
0.0,129,1177.888942
0.0,129,1180.276934
0.0,125,1182.942453
4.0,297,1189.20692
0.0,129,1191.598328
9.0,404,1200.744164
