episodes,steps,mean 100 episode reward,% time spent exploring
100,2942,0.2,99
200,6347,0.3,99
300,10165,0.4,98
400,13748,0.3,98
500,17114,0.2,98
600,20793,0.3,97
700,24817,0.4,97
800,27805,0.2,97
900,30848,0.2,96
1000,34241,0.3,96
1100,37247,0.2,96
1200,40463,0.2,95
1300,44096,0.3,95
1400,47961,0.4,95
1500,51176,0.2,94
1600,55177,0.4,94
1700,58807,0.4,94
1800,62550,0.3,93
1900,66534,0.4,93
2000,69938,0.3,93
2100,73428,0.3,92
2200,76534,0.2,92
2300,79969,0.3,92
2400,83240,0.3,91
2500,86869,0.4,91
2600,90362,0.3,91
2700,94607,0.5,90
2800,98952,0.5,90
2900,103151,0.5,89
3000,107274,0.4,89
3100,110590,0.2,89
3200,114628,0.4,88
3300,118518,0.4,88
3400,122817,0.5,87
3500,126827,0.4,87
3600,131230,0.5,87
3700,135385,0.4,86
3800,139397,0.4,86
3900,143430,0.4,85
4000,147183,0.4,85
4100,151219,0.4,85
4200,154949,0.4,84
4300,159201,0.5,84
4400,163019,0.4,83
4500,167144,0.5,83
4600,172179,0.7,82
4700,176115,0.4,82
4800,179915,0.4,82
4900,184360,0.6,81
5000,188311,0.4,81
5100,192284,0.4,80
5200,196585,0.5,80
5300,201145,0.6,80
5400,205318,0.5,79
5500,210131,0.7,79
5600,214156,0.5,78
5700,218243,0.5,78
5800,222971,0.6,77
5900,227402,0.6,77
6000,232095,0.6,77
6100,237002,0.7,76
6200,241726,0.7,76
6300,246336,0.6,75
6400,251132,0.6,75
6500,255731,0.6,74
6600,259650,0.4,74
6700,263882,0.5,73
6800,268439,0.6,73
6900,273203,0.6,72
7000,277216,0.4,72
7100,282289,0.7,72
7200,286332,0.4,71
7300,291356,0.7,71
7400,296092,0.6,70
7500,300650,0.6,70
7600,305490,0.6,69
7700,309938,0.6,69
7800,314728,0.6,68
7900,319315,0.6,68
8000,324320,0.7,67
8100,329474,0.7,67
8200,334838,0.8,66
8300,339583,0.6,66
8400,344580,0.7,65
8500,349569,0.7,65
8600,354770,0.7,64
8700,360012,0.7,64
8800,365001,0.7,63
8900,369828,0.7,63
9000,375421,0.8,62
